topic,category,question,answer,keywords,timestamp
Master's in Electrical Power Engineering Inquiry,Academic,بالله لو في طالب درس ماستر Electrical Power Engineering اريد يواصلني خاص لو ممكن عندي كم سؤال,,"['Electrical Power Engineering', ""Master's"", 'questions']",2023-12-02
Past Exams for High Advance Voltage,Academic,ايضا بالله لو في احد عنده اختبارات سابقة لمادة High Advance Voltage يكلمني,,"['High Advance Voltage', 'past exams']",2023-12-02
Design Thinking Pre-Assignment,Academic,احد عنده الpre-assignment لمادة Design thinking,,"['Design Thinking', 'pre-assignment']",2023-12-10
Contact Information for Dr. Mohamad Amir Bin Shamsudin,Academic,السلام عليكم يا شباب هل في احد عنده رقم هذا الدكتور DR. MOHAMAD AMIR BIN SHAMSUDIN,Dr.Mohamed Amir Bin Shamsudin.vcf (file attached),"['Dr. Mohamad Amir Bin Shamsudin', 'contact']",2023-12-14
Past Exams for Critical and Creative Thinking,Academic,اي احد معا تستات سابقه UHMS2022 لمدة CRITICAL AND CREATIVE THINKING ياريت يرسلها,,"['Critical and Creative Thinking', 'past exams', 'UHMS2022']",2023-12-15
System Modeling Test 2 Solutions,Academic,حد عنده Test 2 سيستيم موديلنج محلول؟,https://drive.google.com/drive/folders/1mfurdFjC8ej1fZ3WGaiqCxulttRfmYv0,"['System Modeling', 'Test 2', 'solutions']",2023-12-15
Software Engineering Study Materials,Academic,شباب حد عندو اي حاجة لمادة الsoftware engineering؟؟,,"['Software Engineering', 'study materials']",2023-12-17
Digital Electronic Systems Exams,Academic,يا شباب في احد معاه تستات ال digital electronic systems ؟ تستات 2 والفاينل وماتقصرو ❤️,مافي ي صاحبي هذي مادة جديدة لسى فتحوها سمستر هذا هي مكس بين: Digital electronics و Digital system,"['Digital Electronic Systems', 'exams', 'Test 2', 'final']",2023-12-19
Embedded Processor System Exams,Academic,شباب احد معاه تستات ٢ و فاينلات لمادة Embedded Processor System؟,,"['Embedded Processor System', 'exams', 'Test 2', 'final']",2023-12-20
ATMEGA32 Microcontroller Borrowing,Academic,السلام عليكم شباب في احد عندو ATMEGA32 Microcontroller استلفو منو,,"['ATMEGA32', 'Microcontroller', 'borrow']",2023-12-24
Servo Motor MG966R Borrowing,Academic,يا شباب حد معاه servo motor mg966r بستلفه منه بس يومين وارجعه,,"['Servo Motor MG966R', 'borrow']",2023-12-30
Electronic Components Store Recommendation,Academic,يا شباب احد يعرف مكان حق قطع الكترونيه يدلني عليه غير توب ون,,"['electronic components', 'store', 'recommendation']",2023-12-31
