topic,category,question,answer,keywords,timestamp
Course Registration and Schedule,Academic,جدول الترم الجاي مع الدكاتره,No direct answer provided in the chat.,"['جدول', 'الترم الجاي', 'الدكاتره']",2021-03-04
Course Material Inquiry,Academic,هل ذا الكتاب كله داخل بالثيرمودينامك العادية السمستر الثاني؟,"Chapter 2,3,4,5,6,7,10,11","['الثيرمودينامك', 'السمستر الثاني', 'كتاب']",2021-03-08
Course Registration Issue,Academic,لو بتغير السيكشين لازم تاخذ توقيع الدكتور صح؟ ولو رفض ايش بيصير؟,ايوه اذا السكشن الي بتحول عليه فل ف الافس بيقلك جيب توقيع الدكتور. خلاص ما تقدر تغير لنفس السكشن حقه الا تغير واحد ثاني.,"['السيكشين', 'توقيع الدكتور', 'تغيير']",2021-03-09
Faculty Contact Information,Academic,يا شباب اذا احد معه رقم الدكتوره,farhanaismail@utm.my هذي ح ترد عليك وقت العمل بس,"['رقم الدكتوره', 'اتصال', 'فرهان']",2021-03-11
Course Material Inquiry,Academic,سلام عليكم شباب هل في احد عنده e-book حق ال transport؟,<Media omitted>,"['e-book', 'transport', 'مادة']",2021-03-15
Student Orientation Event,Student Life,يعلن YSAG عن موعد اللقاء التعريفي السنوي لطلبة الكليات الجدد,التاريخ : 3/19 الموافق ليوم الجمعة. الوقت: الساعة الثامنة مساءً بتوقيت ماليزيا. المنصة : Google meet. رابط اللقاء : https://meet.google.com/tbe-nhtv-nxw,"['YSAG', 'اللقاء التعريفي', 'طلبة جدد']",2021-03-19
YSAG Educational Resources,Academic,What subjects are covered in the YSAG educational channel?,"The YSAG educational channel covers a wide range of subjects including Solid Mechanics 1, Math 1, Statics, Digital Electronics, Circuit theory, Mechanical Drawing, Mass Balance, Soil Mechanics, Signals & Systems, Electronic Devices, Fluid Mechanics 1 & 2, Math 2, Statistics, Differential Equation, Lab 1 of Electrical, Waste water Engineering, Electrical Power, EMT, and Mobile Application Development.","['YSAG', 'educational resources', 'university subjects', 'lectures']",2021-03-21
YSAG Volunteer Recruitment,Student Life,What are the requirements for the volunteer position of Media Officer at YSAG?,"The requirements for the volunteer position of Media Officer at YSAG include knowledge in designing posters for social media, ability to manage and market social media accounts, readiness to work flexibly and committedly, and being of Yemeni nationality.","['YSAG', 'volunteer', 'Media Officer', 'social media', 'design']",2021-03-23
YSAG New Series Announcement,Academic,What new series has YSAG announced on their YouTube channel?,"YSAG has announced a new series on their YouTube channel titled 'Mass Balance', presented by Ibrahim Jaber. The playlist can be accessed via the provided link: https://youtube.com/playlist?list=PL2LRRctxxQrvHeT1rfc3TU5KBUV0glIS2.","['YSAG', 'Mass Balance', 'Ibrahim Jaber', 'YouTube', 'educational series']",2021-03-22
Thermodynamics Book Request,Academic,ياشباب محتاج كتاب Themodynamic kk باستعيره او باشتريه منه زي ما يحب صاحبه,,"['Thermodynamic', 'book', 'kk']",2021-03-23
Intern Experience Series Announcement,Student Life,,"يعلن YSAG عن نشر الحلقة الثانية من سلسلة *""Intern Experience Seires""* في قناة YSAG. حيث تعرض السلسة كافة احتياجات الطلبة المقبلين على التدريب وكذلك الاجابة على بعض تساؤلاتهم. *🧔🏻المهندس/ * محمد عصبان. شكر خاص من فريق YSAG للمخرج والمصور والممنتج المبدع والمتميز  *عمر فهمي* على كافة جهوده المبذولة في هذه السلسلة. وكذلك شكر خاص للمهندس محمد عصبان على وقته الثمين، والمعلومات الثرية. حساب عمر في الانستقرام: Insta: Amro0osh. 🔗لمشاهدة المقطع: https://www.youtube.com/watch?v=j0rSgBUGrpo","['Intern Experience Series', 'YSAG', 'training', 'students']",2021-03-23
Intern Experience Series Announcement,Student Life,,"يعلن YSAG عن نشر الحلقة الثالثة من سلسلة *""Intern Experience Seires""* في قناة YSAG. حيث تعرض السلسة كافة احتياجات الطلبة المقبلين على التدريب وكذلك الاجابة على بعض تساؤلاتهم. *🧔🏻المهندس/ * عمر ابو المجد. شكر خاص من فريق YSAG للمخرج والمصور والممنتج المبدع والمتميز  *عمر فهمي* على كافة جهوده المبذولة في هذه السلسلة. وكذلك شكر خاص للمهندس عمر ابو المجد على وقته الثمين، والمعلومات الثرية. حساب عمر فهمي في الانستقرام: Insta: Amro0osh. 🔗لمشاهدة المقطع: https://youtu.be/p8zLL-csYL8","['Intern Experience Series', 'YSAG', 'training', 'students']",2021-03-28
Mass Balance Series Update,Academic,,🔰 تم تحديث سلسلة شروح : ✏️ *Mass Balance* المقدمة من YSAG بحلقتين جديدتين. 👨🏼‍🏫تقديم:*إبراهيم جابر*. لمشاهدة قائمة المادة يرجى النقر على الرابط ادناه: https://youtube.com/playlist?list=PL2LRRctxxQrvHeT1rfc3TU5KBUV0glIS2. *شكر خاص للمبدع إبراهيم جابر على كل جهوده🌹*. اذا اَي شخص حاب يساهم بأي مواد اخرى فالمجال مفتوح للجميع.,"['Mass Balance', 'YSAG', 'Ibrahim Jaber', 'lectures']",2021-03-28
Math 1 Study Materials Request,Academic,سلام عليكم ياشباب، اللي اخذ ماث ١ عند دكتور كويس ولسا محتفظ بالشروحات يتواصل معي خاص ‏ضروري🌹🙏🏻,,"['Math 1', 'lectures', 'study materials']",2021-03-30
