topic,category,question,answer,keywords,timestamp
Course Registration Inquiry,Academic,يا شباب متى يفتح تسجيل المواد؟,وعليكم السلام ورحمة الله وبركاته تسجيل المواد يوم ١٤و١٥,"['تسجيل المواد', 'يوم ١٤و١٥']",2020-10-07
Course Section Inquiry,Academic,هل السكاشن في نفس الكليه اذا كانت مختلفه ولكن نفس اوقات الحصص، يكون نفس الدكتور؟؟,غالبا لما تكون الارقام ورا بعض نفس الدكتور زي ١و٢ ٥و٦,"['السكاشن', 'نفس الدكتور', 'أوقات الحصص']",2020-10-14
Course Material Inquiry,Academic,من معاه ال logbook حق المواد,https://engineering.utm.my/mechanical/ehandbook/,"['logbook', 'handbook', 'مواد']",2020-10-13
Course Registration Deadline,Academic,قصدي اخر موعد للتسجيل متى؟,"online course registration = 8-15 october, after that system closed adding will be done manual, submission using google form (semi-online), if I not mistaken, only on 18-19 October","['آخر موعد', 'تسجيل', '8-15 أكتوبر']",2020-10-14
Course Instructor Inquiry,Academic,بالله احد يعرف من الافضل من هذولاء ف الانجليزي ١ ؟,درسني drawing و design ممتاز عادي مش شديد ولا سايب في الدرجات يعطيك حقك,"['الانجليزي ١', 'المحاضرين', 'الدرجات']",2020-10-12
Course Registration Deadline,Academic,قصدي اخر موعد للتسجيل متى؟,"online course registration = 8-15 october, after that system closed. adding will be done manual, submission using google form (semi-online), if I not mistaken, only on 18-19 October","['course registration', 'deadline', 'online', 'manual submission']",2020-10-14
Course Amendment Process,Academic,Please find attached the flow charts of the amendment course registration process,1. Course amendments (insert-delete) – for registering courses less than or equal to 18 credits. 2. Application to register if course section is full. 3. Application to register more than 18 credits. Please follow the instructions given in the Google form for the above registration process. The insert-delete form can be downloaded from Academic Management Division Website (https://amd.utm.my/files/2020/07/Borang-Pembetulan-Kursus.pdf).,"['course amendment', 'registration', '18 credits', 'google form']",2020-10-15
Online Course Delivery,Academic,School of Mechanical Engineering has decided to conduct all courses via online,"School of Mechanical Engineering has decided to conduct all courses via online. This decision has been made, and other faculties are doing the same. However, it is unclear if they will change their decision after December.","['online courses', 'mechanical engineering', 'decision', 'December']",2020-10-15
Final Exams Format,Academic,الي مب فاهمينه الفاينلات شو الوضع فيها بيكون,حسب القرار هذا حتئ الفاينلات اونلاين,"['final exams', 'online', 'format']",2020-10-15
Course Registration for SKUE2012 Electronics,Academic,يا اخوان كم واحد يبغى ينزل SKUE2012 ELECTRONICS,1- محمد العمودي 2-عبد الله يحيى 3-محمد باهارون 4- أحمد باسودان 5- عمر الفقيه 6-أحمد باخريبة,"['SKUE2012', 'electronics', 'course registration']",2020-10-18
Philosophy and Current Issues Course,Academic,Can we take philosophy and current issues Course code : UHIS10222,"yes, new course replacing UHMS1022 (Malaysia Studies 3)","['philosophy', 'current issues', 'UHIS10222', 'course replacement']",2020-10-18
Material Science and Thinking of Science and Technology,Academic,احد يعرف اذا فيه قروب او شي ل material science و thinking of science and technology,راسلت الدكتور قبل شوي وقال انه امس عرف انه هو دكتورنا فقال بيسوي قروب قريب ويرسله لنا والكلاس بيبدا الاسبوع الجاي,"['material science', 'thinking of science and technology', 'group', 'doctor']",2020-10-18
