topic,category,question,answer,keywords,timestamp
F54 Email Contacts,Other,شباب احد عنده ايميل ال F54؟,admission@utm.my,"['F54', 'email', 'contact']",2023-06-01
Academic Calendar Start Date,Academic,ياشباب متى بدايه الدراسه في شهر عشره؟,الدراسة تبدأ ٨ اكتوبر، بدري عن كل مرة.,"['academic calendar', 'start date', 'October']",2023-06-04
Masters Scholarships Availability,Academic,ياشباب الجامعه توفر منح ماجستير؟,فقط منحة واحدة متوفرة للماجستير للطلاب الدوليين.,"['masters', 'scholarship', 'university']",2023-06-07
Obtaining Local Driving License in Malaysia,Student Life,طيب هل في طريقه اطلع الرخصه المحليه من هنا؟,نعم مسموح تطلع رخصة محلية لكن شوف الشباب ينصحوك اش أقرب مدرسه من تامان يو.,"['local driving license', 'Malaysia', 'driving school']",2023-06-05
ATM Deposit Issues for RHB,Other,هل في حد راح يسوي deposit في ال ATM حق ال RHB وما ظهرت الفلوس في حسابه؟,لا يوجد رد، الرسالة محذوفة.,"['ATM', 'deposit', 'RHB']",2023-06-08
Feedback on Instructors,Academic,من اكثر الشكاوي اللي تكون عند الطالب تكون غالباً حول البندهاري,الآن فرصتك تقيّمهم وبينعكس تقييمك على اداءهم للسنة الجاية,"['feedback', 'evaluation', 'instructors']",2023-06-18
Digital Care Email,Academic,حد عنده ايميل digital care ؟,digitalcare@utm.my,"['digital care', 'contact email']",2023-06-18
Degree Requirements for Foundation,Academic,هل الدرجة للنجاح في الفاونديشن تغيرت؟ كم هي بالضبط؟,ضروري يكون في كل ماده ما ينقص عن D+ والذي هو ٤٠ من ١٠٠، ومجموع الدرجات النهائي للثلاث المواد يكون ١٥٠ وفوق,"['foundation degree', 'success requirements', 'grade']",2023-06-19
Final Exam Schedule,Academic,يا شباب متى إجازة العيد الفاينل تبدأ ؟,العيد يبدأ ٢٩/٦، ثلاث ايام بعدين بيبدأ ال revision week,"['final exam', 'holiday schedule', 'revision week']",2023-06-22
Contact for Foundation Program,Academic,هل الزامي عند تقديم ملف التجديد؟,Verification letter will be enough,"['foundation program', 'renewal file', 'verification letter']",2023-06-19
Course Completion Certificate,Academic,فيه شهاده لازم اطلعها حق المشروع صح ولا لا؟,ما ادري والله احنا ما احتجنا شهاده، يعني بس سوينا المشروع وكتبنا الريبورت بس,"['course completion', 'project certificate', 'UTMXCITE']",2023-06-23
Mouse Replacement for Projects,Student Life,"Where can I buy a mouse quickly as my current one is lost, and I have projects to work on?",You can go to Maiden and get one there.,"['mouse', 'projects', 'urgent']",2023-06-24
Saudi Embassy Contact Number,Visa/Immigration,Does anyone have the contact number for the Saudi Embassy?,The number is 03 4257 9433.,"['Saudi Embassy', 'contact number']",2023-06-24
Residency Renewal Process,Visa/Immigration,What is the process for renewing my residency?,You should apply from the website when there are 90 days or less left for expiration. Contact me then for complete steps.,"['residency', 'renewal', 'visa']",2023-06-24
Graduation Certificate Collection Timeline,Academic,How soon can students graduating this semester expect to receive their certificates?,You will probably receive it about a week after getting the senate letter.,"['graduation', 'certificate', 'senate letter']",2023-06-25
Senate Letter Issuance,Academic,When will the senate letter be issued?,"It will be sent to your email after the program ends, provided you have cleared your fees.","['senate letter', 'issuance', 'graduation']",2023-06-25
Day of Arafah Confirmation,Other,When is the Day of Arafah?,It's expected to be on Wednesday according to the Malaysian calendar.,"['Day of Arafah', 'Islamic calendar', 'Wednesday']",2023-06-25
Visa Renewal Procedure,Visa/Immigration,What are the procedures for renewing my visa?,It typically takes about a month from when you submit your application until you receive your passport back.,"['visa', 'renewal', 'procedure']",2023-06-27
Transcript Collection Process,Academic,Where do I collect my transcript now that it's ready?,You can pick it up at the AMD office located at F54.,"['transcript', 'collection', 'AMD office']",2023-06-27
Public Holiday Confirmation,Other,Is today a public holiday?,"No, the holiday is only on Thursday, and work will resume on Sunday.","['holiday', 'confirmation']",2023-06-27
Prayer Timing for Eid,Student Life,متى ستكون صلاة العيد في الجامعة؟,٨:٣٠,"['صلاة العيد', 'الجامعة']",2023-06-29
Transport from TBS to Airport,Student Life,هل يوجد قطار أو باص من محطة TBS في كوالالمبور إلى المطار؟,نعم، يوجد قطار من محطة TBS الى المطار اسمه KLIA Transit. توصل المطار حوالي 40 دقيقة.,"['TBS', 'المطار', 'قطار', 'KLIA Transit']",2023-06-29
Bus Ticket Booking,Student Life,كيف الطريقة لشراء تذكرة باص من TBS إلى المطار؟,تذهب هناك وتشتري تذكرة، أو لو معك بطاقة touchngo تقوم بعمل top up وتدفع عبرها.,"['تذكرة', 'باص', 'TBS', 'touchngo']",2023-06-29
Internship Inquiry,Academic,هل أحد حصل على انترنشيب في شركة مش موجودة في ال ITS هذا الصيف في كلية الكهرباء؟,يتواصل معي في الخاص.,"['انترنشيب', 'ITS', 'كلية الكهرباء']",2023-06-30
Direct Bus to Airport from Johor,Student Life,ما هو أفضل وسيلة للوصول من جوهور إلى المطار؟,احجز تذكرة باص للمطار دايركت.,"['جوهور', 'المطار', 'باص']",2023-06-29
