topic,category,question,answer,keywords,timestamp
Course Registration Issue,Academic,ما اقدر اسجل المواد,لازم تكون نفس اللي اعطوك اياها في handbook. تحصل فيه موادك. كلمو الاكاديميك ادفايزر ان شاء الله يفيدكم. تلقونه في نفس الايميل.,"['course registration', 'handbook', 'academic advisor']",2024-01-10
Professor Contact Information,Academic,سلام عليكم يشباب ممكن رقم دكتور,Dr. Kumer.vcf (file attached),"['professor', 'contact', 'Dr. Kumer']",2024-01-10
Course Section Selection,Academic,لو سمحتوا ممكن احد يشرحلي كيف اسجل المواد,تروح لofferred courses وتكتب كود المادة وبعدين تضغط زر زي ثلاث شخطات وتشوف كل السكاسن الخاصة في الكلية.,"['course registration', 'sections', 'offered courses']",2024-01-10
Professor Contact Information,Academic,اذا احد عنده رقم الدكتور Mohamad Hafis Izran Ishak يرسل لي إياه ما عليكم امر,Prof. Dr Mohamad Hafis Bin Ishak.vcf (file attached),"['professor', 'contact', 'Dr. Mohamad Hafis']",2024-01-10
Mechanical Engineering Booklet,Academic,شباب مين عنده ال. Booklet الجديد تبع الميكاترونكس,https://drive.google.com/drive/u/0/mobile/folders/1pjlrGpGvUJErjKtIa8-AVKAGc6YoWczo?usp=drive_link,"['mechatronics', 'booklet', 'drive link']",2024-01-10
Matric Card Collection,Student Life,مين يعرف من وين الماترك نستلمها ؟,https://maps.app.goo.gl/qARHxkceDbr2pps2A,"['matric card', 'collection', 'location']",2024-01-10
Visa Renewal Process,Visa/Immigration,يا جماعه في تجديد الباسبورد اسلم الباسبورد عند ال utm international صح ؟,تجديد الفيزا عند الانترناشونل. اما تجديد الجواز عند السفارة.,"['visa renewal', 'passport', 'UTM international']",2024-01-10
Matric Card Renewal,Student Life,اذا بجدد الماترك كارد احتاج الجواز يكون معي ولا عادي اسلّموا ؟,مايحتاج,"['matric card', 'renewal', 'passport']",2024-01-10
Professor Evaluation,Academic,كيف الدكاترة ديل من ناحيه الاتيندنس والتصحيح,ممتازة جدا. درجات تضبطك و اسايمنت تعطي فل و حضور ما تهتم فيه. بس راح تعتمد ع نفسك ماتعرف تشرح 😂 لكن كويسة انصح فيها صراحة طيية جدا,"['professor evaluation', 'attendance', 'grading']",2024-01-10
Professor Ratings,Academic,شباب مين افضل روبوتكس kumersan Mohamad amir,Kumersan,"['robotics', 'professor', 'ratings']",2024-01-10
Scientific Programming Course Feedback,Academic,هل في أحد قد أخذ معاه الدكتور تبع الscientific programming؟,حقاني بالدرجات شرح تمام بس يركز بالحضور,"['scientific programming', 'doctor', 'attendance', 'grades']",2024-03-10
Course Registration Issue,Academic,يا اخوان في احد واجه مشكلة مع الموقع وما سجّل وفاته التسجيل ولا لا؟,راجعوا الاوفيس وقولوا لهم المشكله بيسجلوكم,"['registration', 'website issue', 'office']",2024-03-10
Digital Electronics Professor Feedback,Academic,هذا الدكتور كيف هو في الdigital electronics؟,ممتاز جداً في الشرح,"['digital electronics', 'professor feedback', 'teaching quality']",2024-03-10
Math 2 Professor Recommendation,Academic,ماث 2 اي وحده تنصحون؟,وحده اسمها نور عيني جعفر,"['math 2', 'professor recommendation', 'noor aini jaafar']",2024-03-10
Professor Feedback for FYP,Academic,دكتورة الfyp حقي ايش تدرس؟,Network,"['fyp', 'professor', 'network']",2024-03-10
Professor Feedback for Math 2,Academic,ماث 2 اي وحده تنصحون؟,وحده اسمها نور عيني جعفر,"['math 2', 'professor recommendation', 'noor aini jaafar']",2024-03-10
Professor Feedback for Digital Systems,Academic,انا اخذت مع دكتورة Norlaili. شرحها سيء وممل لكن تصحيحها جيد واسلوبها لطيف بتساعد بالاضافة الى انها ماتدقق على الحضور,نعم,"['digital systems', 'professor feedback', 'norlaili', 'attendance']",2024-03-10
Professor Feedback for Math 2,Academic,ماث 2 اي وحده تنصحون؟,وحده اسمها نور عيني جعفر,"['math 2', 'professor recommendation', 'noor aini jaafar']",2024-03-10
Professor Feedback for Math 2,Academic,ماث 2 اي وحده تنصحون؟,وحده اسمها نور عيني جعفر,"['math 2', 'professor recommendation', 'noor aini jaafar']",2024-03-10
Professor Feedback for Math 2,Academic,ماث 2 اي وحده تنصحون؟,وحده اسمها نور عيني جعفر,"['math 2', 'professor recommendation', 'noor aini jaafar']",2024-03-10
Professor Recommendations for Digital Electronics,Academic,في مادة الديجيتال عبدالهادي في سكشن ٤ و٥ كويس شرحه عادي لكن متساهل وتصحيحه زين,عبدالهادي شرحه حلو و متساهل دكتور رايق صراحة,"['ديجيتال', 'عبدالهادي', 'سكشن ٤ و٥', 'شرح', 'تصحيح']",2024-05-10
Professor Recommendations for Siti Balqis,Academic,في حد هنا اخد اي مادة مع siti balqis التيرم الي فات ؟,ما درست معاها,"['siti balqis', 'التيرم الي فات', 'مادة']",2024-05-10
UTM Kuala Lumpur Campus Inquiry,Academic,شباب، أحد منكم يدرس في UTM فرع كوالالمبور؟ الي يدرس هناك يا ريت يتواصل معي,,"['UTM', 'كوالالمبور', 'فرع']",2024-05-10
Professor Recommendations for Digital Electronics,Academic,الافضل دكتور تان والا الدكتور تبع سكشن ١&٢ ؟,كلهم كويسين,"['دكتور تان', 'سكشن ١&٢', 'ديجيتال']",2024-05-10
Professor Recommendations for Introduction to Electrical Engineering,Academic,هل الدكتوره دي كويسه يا شباب INTRODUCTION TO ELECTRICAL ENGINEERING,ممتازة تعاملها كويس جداً وتصحيحها كويس والمادة اصلاً مفيهاش حاجه,"['INTRODUCTION TO ELECTRICAL ENGINEERING', 'دكتورة', 'كويسه']",2024-05-10
Professor Recommendations for Scientific Programming,Academic,SCIENTIFIC PROGRAMMING وضعه ايه يا شباب,,"['SCIENTIFIC PROGRAMMING', 'وضعه']",2024-05-10
Differential Equation Section Schedule,Academic,يا اخوان انتم تطلعون اسماء الدكاترة من تطبيق مدول صح؟,https://docs.google.com/spreadsheets/d/1C6Q7TffqPoIioAv_RoUH8wbGk4gfACOG/edit?gid=1250150344#gid=1250150344,"['اسماء الدكاترة', 'تطبيق مدول', 'جدول']",2024-05-10
Differential Equation Section Schedule,Academic,يا اخوان ابغى جدول السكاشن تبع differential equation,Linktree تبع الكهربا اتوقع تلاقي هناك,"['differential equation', 'جدول السكاشن', 'الكهربا']",2024-05-10
Professor Recommendations for French and English 3,Academic,الشباب مين أروق دكاترة للفرنساوي و إنجلش ٣ و بيدوا اونلاين؟,فرنسي Nur Alwani English 3 ادخل مع أي دكتور عادي اهم شي مش دكتورة,"['فرنساوي', 'إنجلش ٣', 'دكاترة', 'اونلاين']",2024-05-10
Course Registration and Section Changes,Academic,شباب متى يمدينا نغير الدكاتره !؟,بكرة إن شاء الله بعد خمسة ساعات,"['course registration', 'section changes', 'doctors']",2024-10-05
Course Registration Issues,Academic,الحين انا عندي ٣ مواد ما موجودة جدول، هل هاذ يعني انه في كلاش بالمواد ولا لسى المواد ما نزلت؟,ادخل هنا وشوف المواعيد للسكاشن الذي سجلتها: https://docs.google.com/spreadsheets/d/1ZuPho_XkKJxS0o7-kPGpfNZ6YEdwxUw5/edit?gid=2081235431#gid=2081235431,"['course registration', 'timetable', 'sections']",2024-10-05
Course Registration Approval,Academic,جاك approve من الاكاديمك ادفايزر على المواد الذي سجلتها؟,لو دخلت ال course registration بيطلع لك اما You have submitted your registration او Your registration has been approved,"['course registration', 'approval', 'academic advisor']",2024-10-05
Course Registration Penalty,Academic,شباب لو عندي مادة ما اتسجلت لي في التسجيل الاونلاين وحابة اسجلها أمشي اي مكتب ؟,مكتب المليه Undergraduate office P19a,"['course registration', 'penalty', 'undergraduate office']",2024-10-06
Course Registration Issues,Academic,شباب رحت الاوفيس قالت لي سيمستر ١ ما ينفع يغيروا مواد واذا غيرت رح نرجعك للسكشن تبعك,المنتظم اول سمستر يمشي على الجدول المتاح مااله حق يغير شي,"['course registration', 'semester 1', 'section changes']",2024-10-06
Course Registration Issues,Academic,شباب الامتمنت مافتح !,غالبا على عشرة بيفتح,"['amendment', 'course registration', 'timetable']",2024-10-06
Course Registration Issues,Academic,شباب الامتمنت مافتح !,غالبا على عشرة بيفتح,"['amendment', 'course registration', 'timetable']",2024-10-06
Course Registration Issues,Academic,شباب الامتمنت مافتح !,غالبا على عشرة بيفتح,"['amendment', 'course registration', 'timetable']",2024-10-06
Course Registration Issues,Academic,شباب الامتمنت مافتح !,غالبا على عشرة بيفتح,"['amendment', 'course registration', 'timetable']",2024-10-06
Course Section Change,Academic,شباب يعني ما ينفع أغير السكشن بتاعي حتى لو ما حا يحصل لي كلاش؟؟,انت اول سمستر؟,"['سكشن', 'كلاش', 'تغيير']",2024-06-10
Professor Evaluation,Academic,Dr. Ang Tau Keong يا شباب حد يعرف دكتور هاذا,"Dr rodhi will Explain very well, but he is strict. He do his part nicely, and expecting you to do your part same as he.","['Dr. Ang Tau Keong', 'شرح', 'تقييم']",2024-06-10
Professor Grading,Academic,What about grading,"Grading for me it was online time. So we are expecting As. Circuit analysis. It sucks give us most Bs. So, i say his grading is not good bro.","['grading', 'Circuit analysis', 'Bs']",2024-06-10
Professor Contact Information,Academic,احد عنده رقم الدكتورة هذي؟ Dr Noor Syazwani Mansor,No specific answer provided in the chat.,"['Dr Noor Syazwani Mansor', 'رقم', 'اتصال']",2024-06-10
Professor Evaluation,Academic,شباب الدكتورة هذه كويسة في devices ؟,No specific answer provided in the chat.,"['devices', 'تقييم', 'دكتورة']",2024-06-10
