topic,category,question,answer,keywords,timestamp
Electricity Course Test Papers,Academic,يا شباب اي حد عنده التستات لأي مادة كهرباء حق هذا السمستر يرسلها لي بالخاص,,"['electricity', 'test papers', 'semester']",2024-05-01
Contact Information for Dr. Zaharah Binti Johari,Academic,احد عنده رقم هذه الدكتوره Dr. Zaharah Binti Johari,Dr Zaharah (Electronic System).vcf (file attached),"['Dr. Zaharah Binti Johari', 'contact', 'Electronic System']",2024-05-04
Contact Information for Dr. Ahmed Ridhwan,Academic,احد عنده رقم Dr. Ahmed Ridhwan,بنتواصل معاه تليجرام بس,"['Dr. Ahmed Ridhwan', 'contact', 'Telegram']",2024-05-04
Math 2 Course Information,Academic,شباب هل في احد معه course information تبع math 2,,"['Math 2', 'course information']",2024-05-06
Contact Information for Dr. Kumaresan,Academic,مين عنده رقم الدكتور هذا: Dr. kumaresan ?,Prof. Dr Kumaresan.vcf (file attached),"['Dr. Kumaresan', 'contact']",2024-05-09
Control System Study Resources,Academic,شباب حد يعرف شرح كويس control system,شوف تبع د هرمان الفيديوهات موجودة اذا احد عنده اللينك يرسل يا شباب,"['control system', 'study resources', 'videos']",2024-05-13
Holiday Inquiry,Student Life,هو بكرة اجازة؟,نعم,"['holiday', 'break']",2024-05-21
Survey Participation Request,Other,"I am currently conducting a GenZ research study to provide GenZ a voice and platform to share their expectations of career, leadership, tech and life in general…we did a study with millennials in 2019 already and now I want to focus on GenZ. We need more voices so I hope you can participate and share the link to the survey with your friends too 🙏🏻",https://docs.google.com/forms/d/e/1FAIpQLSf8SXqIBo9zCQP2W37jbY6wA_3_XBjjv1ZAeuRUKbEIqjDCaw/viewform,"['GenZ', 'research study', 'survey']",2024-05-22
Hydraulics Assignment Inquiry,Academic,ياشباب الي اخذ نفس الاسايمنت ذا في الهيدرولك عندي استفسار,,"['hydraulics', 'assignment', 'inquiry']",2024-05-25
Class Schedule Change Request,Academic,يا شباب، بالله لو تغيروا الموعد خلوه يوم الخميس اذا أمكن، لان يوم الثلاثاء عندنا محاضرة كيمياء من ٢ إلى ٤ العصر,هذي ماث 1 مختلفه عن الماث تبع البريدنق,"['class schedule', 'change request', 'chemistry lecture']",2024-05-26
Class Location Inquiry,Academic,وين القاعه بالضبط يا اخوان,*📍 الموقع :* P19A LEVEL 3 BT14 Faculty of Electrical Engineering,"['class location', 'Faculty of Electrical Engineering']",2024-05-27
Math Class Postponement,Academic,تم تأجيل كلاس الماث لهذا اليوم إلى يوم غدٍ.,,"['math class', 'postponement']",2024-05-28
Multimeter Borrowing Request,Academic,يا شباب في حد منكم معاه multimeter ؟,و عليكم السلام و رحمة الله و بركاته نعم,"['multimeter', 'borrowing']",2024-05-29
