topic,category,question,answer,keywords,timestamp
University Event Inquiry,Student Life,هل هناك أي فعاليه في الجامعة اليوم ؟,حسب ماقلي صديق انه مسوين تجمع للطلاب الجدد,"['فعالية', 'تجمع', 'طلاب جدد']",2023-10-01
University Event Details,Student Life,اي مبنى طيب,ديوان السلطان اسكندر على الي مكتوب,"['مبنى', 'ديوان السلطان اسكندر']",2023-10-01
University Event Attendance,Student Life,لازم بطاقة جامعية عشان احظر؟,لو طلبوها قلهم لسا ما طلعتها عادي,"['بطاقة جامعية', 'حضور']",2023-10-01
University Event Schedule,Student Life,"كاتبين انه بكره فيه Briefing, ايش العلم؟",هنا مكتوب 5,"['Briefing', 'جدول', 'فعاليات']",2023-10-01
University Event Feedback,Student Life,استفدتوا شي؟,حد الآن مافي😅,"['استفادة', 'فعالية']",2023-10-01
University Event Details,Student Life,الي بياخذ BET كيف الطريقه وهل نقدر ناخذه بدون خبره مسبقه بلتخصص؟,"هو اختبار يتم في الثلاث المواد الذي بتاخذوها في البريدجنق 

نسبه النجاح لازم تكون ٦٥% في كل ماده من المواد الثلاث 

واذا ما جبت ٦٥% ولو حتى في ماده تاخذ البريدجنق","['BET', 'اختبار', 'بريدجنق']",2023-10-03
University Registration,Academic,اللي راحو اليوم استفدتو شيء ولا نفس امس؟,اتوقع نفس امس برايف,"['تسجيل', 'برايف', 'فعالية']",2023-10-03
University Registration,Academic,ياشباب UTM Space هما يسجلونا ولا احنا ندخل على موقعهم ونسجل بأنفسنا؟,"تواصل معهم على ايميلهم 
ارسل اسمك الكامل
والماترك كارد حقك
وهمه يرسلولك ايش بتسوي حتى تسجل","['تسجيل', 'UTM Space', 'ماترك كارد']",2023-10-03
University Registration,Academic,شباب احنى نسجل المواد بنفسنا ولا تلقائياً,تسجل بنفسك,"['تسجيل', 'مواد', 'بريدجنق']",2023-10-03
Bridging Program Registration Issue,Academic,شباب احد هنا بيعيد الbridging و لو في ياريت لو تعرفني وش لازم اسوي,شوف ذا الملف ☝️,"['bridging', 'registration', 'file']",2023-10-03
Bridging Program Registration Issue,Academic,بالله ارسل الباركود,اضغط ذا,"['barcode', 'bridging', 'registration']",2023-10-04
Bridging Program Registration Issue,Academic,UTMSPACE رابط البريفنق حقهم معلق عندي؟,يب يعلق ساعة وساعة لا مدري ليه,"['UTMSPACE', 'bridging', 'link']",2023-10-04
Bridging Program Registration Issue,Academic,شباب الي سجل وخلص computer science software enginnering يجيني بلخاص بالله,لازم تكلمهم يعملولك حساب,"['computer science', 'software engineering', 'registration']",2023-10-04
Bridging Program Registration Issue,Academic,لو سمحتو واحد يفيدني عن تنزيل المواد,خلاص ادخل بس اختار السكشن,"['materials', 'bridging', 'section']",2023-10-04
Bridging Program Registration Issue,Academic,انا اسجل ولا المواد مسجلة وخلاص,تحضيري ولا متخصص؟,"['registration', 'materials', 'bridging']",2023-10-04
Bridging Program Registration Issue,Academic,كيف اخش عليه,utmid schedule حط رقم سكشنك,"['schedule', 'bridging', 'section']",2023-10-04
Bridging Program Registration Issue,Academic,الان اول محاضره او اول درس يوم 8صح  وين يكون الموقع بضبط الي نروحله,شوف جدولك,"['first lecture', 'schedule', 'bridging']",2023-10-04
Bridging Program Registration Issue,Academic,من وصله الايميل هذا وهل هذا الاجتماع نفسه الي كان يوم الاثنين او مختلف,يب نفسه,"['email', 'meeting', 'bridging']",2023-10-04
