topic,category,question,answer,keywords,timestamp
Integration and Differentiation Rules,Academic,المفروض ان يكامل بعيد يضرب بمشتقت ما داخل القوس صح,التفاضل تصرب بمشتقة ما بداخل القوس . التكامل تقسم بمشتقة ما بداخل القوس.,"['تكامل', 'تفاضل', 'مشتقة', 'قوس']",2023-12-05
Integration Techniques,Academic,تكاملها بالتعويض هذه,هذا تكامل ماهو تفاضل,"['تكامل', 'تعويض', 'تفاضل']",2023-12-05
Integration Techniques,Academic,ما يبيلها يا اخوان😅,تنزل المسأله نفس ماهي و تزيد فالاس 1 و تقسم على الاس الجديد مضروب قي تفاضل المعادله,"['تكامل', 'تفاضل', 'معادلة']",2023-12-05
Integration Techniques,Academic,المساله دي غلط اصلا ما بتجي مساله زي كدا,المفروض يعطيك 2x مضروبه في القوس كامل عشان تقدر تحلها بالتعويض,"['تكامل', 'تعويض', 'قوس']",2023-12-05
Integration Techniques,Academic,او ممكن تفك القوس كامل بس طويييله💀💀💀,تفك القوس وتكامل بالطريقه العاديه,"['تكامل', 'قوس', 'طريقة عادية']",2023-12-05
Integration Techniques,Academic,ليش نزل سالب ١٠ وال x,انت عشان تخليها تصير نفس الي فوق تضربها ب سالب وتنعكس F(x) اصلها سالب ١٠ يوم تعوضها عندك سالب ١٠ وسالب برة تصير موجد,"['تكامل', 'سالب', 'تعويض']",2023-12-05
Mathematics Reinforcement Classes,Academic,في أي وحدة بالرياضيات تحتاجوا فيها دروس تقوية؟,POLL: في أي وحدة بالرياضيات تحتاجوا فيها دروس تقوية؟ OPTION: Integration (12 votes) OPTION: Vectors (0 votes) OPTION: Differentiation (1 vote),"['رياضيات', 'تقوية', 'تكامل', 'تفاضل']",2023-12-05
Test 2 Schedule,Academic,ممكن واحد يقلي متى موعد TEST 2؟,غالبا في شهر ١,"['تيست', 'موعد', 'شهر ١']",2023-12-05
Test 2 Schedule,Academic,متى موعد TEST 2؟,احنا نعتبر اليوم بالاسبوع رقم 9 فالاختبار أكيد بالاسبوع رقم 13 و الي هو محتمل بيوم الخميس 4يناير,"['تيست', 'موعد', 'اسبوع 13', '4 يناير']",2023-12-05
Physics Test 2 Units,Academic,يا شباب ايش الوحدات اللي داخلة في Test 2 لمادة الفيزياء ؟,"(7, 8 & 9)","['فيزياء', 'تيست', 'وحدات', '7', '8', '9']",2023-12-16
Physics Reinforcement Classes,Academic,في أي وحدة في الفيزياء تريدون فيها درس تقوية ؟,POLL: في أي وحدة في الفيزياء تريدون فيها درس تقوية ؟ OPTION: CHAPTER 7 FLUIDS (4 votes) OPTION: CHAPTER 8 OSCILLATIONS AND WAVES (9 votes) OPTION: CHAPTER 9 ELECTRIC CHARCE AND FIELD (11 votes),"['فيزياء', 'تقوية', 'وحدات', '7', '8', '9']",2023-12-17
Integration Reinforcement Class,Academic,درس الintegration ممكن يكون هذا الاسبوع قبل الخميس او الاربعاء ؟,في بإذن الله,"['تكامل', 'تقوية', 'اسبوع', 'الخميس', 'الاربعاء']",2023-12-18
Integration Techniques,Academic,هل في احد حل المثال هذا صفحة ١٠٠,مشكور,"['تكامل', 'مثال', 'صفحة 100']",2023-12-18
Integration Techniques,Academic,Integret sinx always -cosx,Integret sinx always -cosx Ingetret cos always sinx أشتقاق sinx = cosx اشتقاق cosx = -sinx,"['تكامل', 'تفاضل', 'sinx', 'cosx']",2023-12-19
Integration Techniques,Academic,اقلب الجذر اس نص,و وزعه على البسط,"['تكامل', 'جذر', 'بسط']",2023-12-19
Integration and Mathematics Review,Academic,معليش على المقاطعه بس هل ممكن بكره يكون في مراجعه للماث ؟,ايوه,"['مراجعة', 'ماث', 'رياضيات']",2023-12-19
Integration Problem Solving,Academic,قسم ال integration على ال f(x) وعلى ال 2x طالما ان بينهم علامه جمع,ال integration حق ال f(x) جاهز بقيمته وسوي integration لل 2x وطلع القيمه,"['integration', 'f(x)', '2x', 'جمع']",2023-12-19
Mathematics Test Preparation,Academic,📍لطلاب الفاونديشن📍 تعلن YSAG في الاتحاد اليمني في جامعة UTM تنظيم دروس تقوية حضورية لمراجعة Test 2 .,📚 المادة: الرياضيات ( وحدة التكامل - integration ) 👨🏼‍🏫 المحاضر: المهندس يوسف نزار 📅 التاريخ: الجمعة 22/12/2023 ⏱الوقت: 10:00 صباحا ( حضوري ) . 🔗الموقع: المكتبة ( بقرب المسجد) - UTM LIBRARY . https://maps.app.goo.gl/xGZjYS5HmvKRwUn56,"['دروس تقوية', 'Test 2', 'رياضيات', 'تكامل', 'UTM']",2023-12-21
