topic,category,question,answer,keywords,timestamp
YSAG-Chemical Leadership Announcement,Student Life,نبارك للأخوين/ *انس الشيخ و عبدالله الحبشي* رئاسة *YSAG-Chemical * للعام 2020 وعليه نتمنى لهما كل التوفيق في خدمة اخوانهم الطلاب.,نشكر الأخ @60189819796  على إشرافه على YSAG الهندسة الكيميائية للعام المنصرم ونتمنى له كل التوفيق والسداد🌺🌺,"['YSAG', 'Chemical Engineering', 'Leadership', '2020']",2020-02-02
YSAG-Chemical Meeting Announcement,Student Life,سوف يكون هناك لقاء تعريفي لجميع الطلاب بحول الله فما رأيكم يوم 4 أو يوم 5؟,تمام ان شاء الله,"['YSAG', 'Meeting', 'Students', 'Introduction']",2020-02-02
YSAG-Chemical Meeting Details,Student Life,الساعه كم ؟ و وين ؟,الساعة 5:30 العصر المكان : ميلاويس M05-02-193,"['YSAG', 'Meeting', 'Time', 'Location']",2020-02-03
Course Registration Inquiry,Academic,يا شباب مادة UKQ نقدر نسجلها اون لاين عشان ماني قادر أسجلها عندي,خلاص سجلتها الحمدلله Co-curriculum رحت عندهم وسجلتها,"['UKQ', 'Course Registration', 'Online']",2020-02-05
Course Selection Advice,Academic,الي اعرفه محمد طاهر كويس بس يفيدونا الشباب الي اخذو عند غيره,محمد طاهر كان معنا تمام,"['Course Selection', 'Lecturer', 'Feedback']",2020-02-06
Course Impact on Graduation,Academic,إذا سويت درب لمادة المالي هل يأثر على الشهادة ؟,ما يؤثر بس انت ماراح تتخرج حتى تأخذها,"['Course Impact', 'Graduation', 'Dropping Courses']",2020-02-06
Course Substitution Inquiry,Academic,يا شباب إذا المادة ماهي في الدفتر اللي فيه المواد اللي لازم تاخذها، الين تتخرج هل إذا أخذتها تقدر تدخل معاك في مجموع الكريديت اللي المفروض تاخذها؟,للاسف ما تقدر ما بتتسجل ...,"['Course Substitution', 'Credit Hours', 'Graduation Requirements']",2020-02-06
Statistics Course Inquiry,Academic,يا شباب إللي أخذ statistics هل مهم يكون معانة الكتاب حق UTM؟,,"['Statistics', 'Course Material', 'UTM']",2020-02-08
YSAG Feedback Form,Student Life,الله يعطيكم العافيه ٣ دقائق من وقتكم لتعبئة هذا الفورم، رأي الجميع يهمنا للتحسين من ال YSAG.,https://www.surveymonkey.com/r/FBLLGK6,"['YSAG', 'Feedback', 'Survey']",2020-02-08
Numerical Methods Lecturer Inquiry,Academic,ياشباب مين احسن دكتور في ال numerical غير nor alafiza,,"['Numerical Methods', 'Lecturer', 'Recommendation']",2020-02-09
Lecturer Contact Information,Academic,ي شباب احد عنده رقم الدكتور محمد الرزالي,,"['Lecturer', 'Contact Information', 'Mohammed Al-Razali']",2020-02-09
GSA Lecturer Recommendation,Academic,ياشباب ايش افضل دكتور انزل عنده Gsa,من ناحيه الشرح ....مش لهناك بس الدكتور ..طيب ومحترم وتضمن فل مارك بالواجبات والبروجكت ...حد يبئ يضيف ....,"['GSA', 'Lecturer', 'Recommendation']",2020-02-10
YSAG General Meeting Proposal,Student Life,ياشباب نبغى نسوي إجتماع للجميع والمقترح غدا الساعة 8 مساء في مطعم سبأ ايش رايكم؟,السبت مساء ممكن بس مطعم سبأ محجوز من كلية أخرى اذا في اقتراح لمكان👍,"['YSAG', 'Meeting', 'Proposal']",2020-02-13
Meeting Arrangement for College Students,Student Life,ياشباب نبغى نسوي إجتماع للجميع والمقترح غدا الساعة 8 مساء في مطعم سبأ. ايش رايكم؟,نظرا لتعارض الأوقات، سيكون اجتماع اليوم بحول الله في تمام الثامنة مساء في مطعم سبأ. وسيتم تنسيق إجتماع اخر قريب مناسب لجميع الشباب.,"['اجتماع', 'مطعم سبأ', 'وقت الاجتماع']",2020-02-14
Library Location Inquiry,Academic,بالله ياشباب إذا ماعليكم أمر ارسلوا رابط المكتبة,"Perpustakaan Sultanah Zanariah 80990 Sekudai, Johor 07-553 0188 https://maps.app.goo.gl/hYodRnG4jbxY78Ab6","['مكتبة', 'Perpustakaan Sultanah Zanariah', 'رابط المكتبة']",2020-02-14
Bus Schedule Inquiry,Student Life,يا شباب احد عارف اسم الباص من الكيميكال الا السنتر بوينت واذا احد عنده الجدول يرسله لو سمحتو,هو اي باص معدي اركب معاه كلهم بيمشوا الى السنتر والجدول تحصله عند ال bus stop. حمل برنامج utm smart بتحصل الجدل في shuttles. باص skt يرح السنتر من الكليه.,"['باص', 'جدول', 'الكيميكال', 'السنتر بوينت']",2020-02-16
Co-Curriculum Activities Information,Academic,شباب شو موضوع هذا بالضبط ؟☝🏽,"For your information, starting from this semester, all students require to involve in co-curriculum activities as follows: ● ExCEL- Only valid for current Year 1 & 2 where students need to join a total of 3 programs that are offered in UTMACAD. These 3 activities are the prerequisite to enrol in ExCel subject which will begins starting from 202020212 session for SKEM. ● UTMSAT – Involves all Year 1 until Year 4 students. Students need to join the organized program and each activity will contribute to points. To pass this program, students need to join a minimum of 1 program which will be held every Tuesday along the 14 weeks’ time. To get an excellent transcript, student must join 3 programs on every Tuesday along the 14 weeks’ time. ● UTMSAT program differs from the normal 3 credit co-curriculum program (2+1). It is for all students. ● Normal 3 credit co-curriculum program --> Need to register and included into Academic Transcript ● UTMSAT- No credit ---> But Co-Curriculum Transcript will be issued (Pass: Moderate-Excellent) & the name of the transcript is UTMSAT. Therefore, student will get 2 scrolls during the convocation. ● In the other words, starting from this semester, for the students who did not registered for normal 3 credit co-curriculum program, they need to join the co-curriculum activities that are organized by UTM on every Tuesday from 2pm until 11pm.","['co-curriculum', 'UTMSAT', 'ExCEL', 'activities']",2020-02-18
Student Meeting Arrangement,Student Life,اليوم موعد الجلسة الدورية كما تم الإتفاق عليه من قبل الشباب في الجلسة السابقة. الساعة 9 مساء. الي راح يحضر يسجل اسمه:,"1-انس الشيخ
2-إبراهيم جابر
3-محمد المريسي
4-معاذ احمد
5- محمد فيصل
6-عبدالله الحبشي
7_محمد بابكر
8_ماجد شهاري","['جلسة دورية', 'موعد', 'تسجيل الحضور']",2020-02-29
Meeting Location Update,Student Life,مكان الإجتماع؟,"Ungku Cafe
Jalan Flora 1/10, Taman Pulai Flora, 81300 Skudai, Johor
https://maps.app.goo.gl/4Z7RzPjgSxM4kd8i8","['مكان الإجتماع', 'Ungku Cafe', 'الموقع']",2020-02-29
Meeting Location Change,Student Life,الحين وين ياشباب؟,مطعم سبأ,"['تغيير المكان', 'مطعم سبأ']",2020-02-29
