topic,category,question,answer,keywords,timestamp
Course Registration and Elective Courses,Academic,شباب عارفين موضوع elective course وكيف التسجيل فيهم؟؟,نفس اي ماده ثانيه بس الفرق انه الelective فيه اكثر من ماده متوفره و انت تختار اثنين منهم,"['elective course', 'registration', 'academic']",2023-10-07
Course Registration and Elective Courses,Academic,هو ممكن تكون مش موجوده السمستر هذا؟؟,المفروض من هذا الرابط http://www.rsedims.utm.my/fe/pelajar/,"['course registration', 'semester', 'link']",2023-10-07
Course Registration and Elective Courses,Academic,حد معاه رقم بن موسي؟,.,"['contact', 'Ben Musa']",2023-10-07
Course Registration and Elective Courses,Academic,شباب اللي سجلوا مواد امس و اول امس تقدرون تدخلوا على e-learning ولا مايشتغل ؟,.,"['e-learning', 'course registration']",2023-10-07
Course Registration and Elective Courses,Academic,نزلت اسماء الدكاتره ولا لسا,نعم نزلت http://www.rsedims.utm.my/fe/pelajar/,"['lecturers', 'course registration', 'link']",2023-10-06
Course Registration and Elective Courses,Academic,شباب بالله في احد يعرف دكاتره هادي؟,.,"['lecturers', 'course registration']",2023-10-06
Course Registration and Elective Courses,Academic,فتح التسجيل ال compulsory ?,تاريخ ٤ يفتح,"['compulsory', 'course registration']",2023-10-03
Course Registration and Elective Courses,Academic,التسجيل المتاخر فتح؟ حد ضبط معه,لا,"['late registration', 'course registration']",2023-10-04
Course Registration and Elective Courses,Academic,شباب فتح التسجيل ؟,لا,['course registration'],2023-10-04
Course Registration and Elective Courses,Academic,يا شباب الي معه الهاند بوك حق الهندسه الصناعيه يرسله بالله,وعليكم السلام ورحمة الله وبركاته موجود في ملف الميكانيكال تبع الوايساج Undergraduate Handbook -INDUSTRIALS.pdf • ‎21 pages ‎document omitted,"['handbook', 'industrial engineering']",2023-10-04
Course Registration and Elective Courses,Academic,شباب حد يعرف دكاتره كويسين لل Fluid 1: Thermodynamics: Differential equation:,من هم الذي يدرسوها الان؟ شيك ورسل الصور والشباب ما بيقصرو ان شاء الله,"['lecturers', 'Fluid 1', 'Thermodynamics', 'Differential equation']",2023-10-04
Course Registration and Elective Courses,Academic,حد يعرف اي واحد من ذولي تبع ال thermodynamic,ذا اخذت معه لاب ثيرمو اخلاااااق بس شرح مش عارف😂,"['thermodynamics', 'lecturers']",2023-10-04
Course Registration and Elective Courses,Academic,احد قد اخذ ماده مع هذا؟,اخذت مع هذا جيد بالشرح لكن شديد في التصحيح والاختبارات بريفيس + يجيبها من الشرح حقه,"['lecturers', 'course experience']",2023-10-05
Course Registration and Elective Courses,Academic,احد يعرفه؟,هاذا اكثر دكتور ساحب بالحياه م يحضر ويعطيك كثير اسيمنتات اذكر برضو كان يشرح با الماليزي,"['lecturers', 'course experience']",2023-10-05
Course Registration and Elective Courses,Academic,طيب انا عايز اعرف اخد مع مين سوليد 2 وماشينز اقتراحات؟,اخذت عند هذا صراحة ما كنت افهم بس في الدرجات جيد,"['Solid 2', 'Machines', 'lecturers']",2023-10-07
Course Registration and Elective Courses,Academic,بس درجات ماشيين؟,ولله عن تجربتي الاتنين لا بس مدري ع اتنين الباقيين ممكن يكونو هادم اقل منهم سوء,"['grades', 'lecturers']",2023-10-07
Course Registration and Elective Courses,Academic,ورينا اسامي الدكاتره,دول سوليد ٢ @96565020286 @60194650563,"['lecturers', 'Solid 2']",2023-10-07
Course Registration and Elective Courses,Academic,دول ماشينز,هادا ما انصح فيه شرحه تعبان وهادا اخدت معاه تيرمو وشرحه سيئ الباقي ما اعرف,"['Machines', 'lecturers']",2023-10-07
Course Registration and Elective Courses,Academic,هذا بالدرجات جيد والشرح عليك باليوتيوب..,خذ عند الاقل ضرراً على قوله السينير @971501315654😂😂,"['grades', 'lecturers', 'YouTube']",2023-10-07
Course Registration and Elective Courses,Academic,English for Professional Purposes شباب من وين اجيب الجدول تبع هذي,المفروض من هذا الرابط http://www.rsedims.utm.my/fe/pelajar/,"['English for Professional Purposes', 'schedule', 'link']",2023-10-07
Elective Course Registration,Academic,شباب عارفين موضوع elective course وكيف التسجيل فيهم؟؟,نفس اي ماده ثانيه بس الفرق انه الelective فيه اكثر من ماده متوفره و انت تختار اثنين منهم,"['elective course', 'registration', 'materials']",2023-10-07
Course Registration Amendment,Academic,شباب هل صدق بأنه الاميندمينت صار يدوي؟,الى الان يب مافي غير تعبي الورق وتروح الاوفيس,"['amendment', 'manual process', 'course registration']",2023-10-08
Course Registration Amendment Process,Academic,"Dear students, We regret to inform you that the online course registration amendment system is temporarily unavailable. However, we have provided an alternative process for students who need to make changes to their course registration for Semester I, 2023/2024 Session.",Please follow these steps: 1. Get the course registration amendment form from either your faculty academic office or download it from the following link: https://amd.utm.my/files/2020/07/Borang-Pembetulan-Kursus.pdf 2. Complete the form and obtain the relevant signatures. 3. Submit the completed form to your Faculty Academic Office.,"['course registration', 'amendment', 'form', 'faculty academic office']",2023-10-08
FYP2 Registration,Academic,TO STUDENTS WHO REGISTERED FOR FYP2 THIS SEMESTER PLEASE JOIN THIS TELEGRAM GROUP 👇  https://t.me/+dhBNSYs9PmQwODI1,ATTENTION📢📢📢 TO STUDENTS WHO REGISTERED FOR FYP2 THIS SEMESTER PLEASE JOIN THIS TELEGRAM GROUP 👇  https://t.me/+dhBNSYs9PmQwODI1,"['FYP2', 'registration', 'telegram group']",2023-10-08
Professor Recommendation for Control Course,Academic,السلام عليكم شباب من تنصحوا اخذ معه كنترول؟,"انا اخذت applied مع Zulkarnain, عن نفسي ممتاز في الشرح بس شديد في التصحيح...","['control course', 'professor recommendation', 'Zulkarnain']",2023-10-09
Lab 2 Registration,Academic,هل في احد اخذ lab 2 هذا السميستر ؟,انا,"['lab 2', 'registration', 'semester']",2023-10-09
Elective Course Schedule,Academic,كيف ممكن اعرف اوقات وسكاشن مواد الإلكتف، هل فيه لينك معين او شي,وعليكم السلام،،، كان قبل السمستر هذا طبيعي الان في نظام جديد انك تسجل المواد ال elective قبل السمستر بفتره.. نظام ال track,"['elective course', 'schedule', 'track system']",2023-10-10
Professor Evaluation for Drawing Course,Academic,يا شباب كيف الدكتور هذا,خذ وانت مرتاح طيب جدا الشرح كويس الدرجات ما بيظلمك,"['drawing course', 'professor evaluation', 'grades']",2023-10-11
Engineering Statistics Books,Academic,شباب حد معاه الكتابين بتوع Engineering statistics?,لا موجود الكتاب العادي,"['engineering statistics', 'books', 'textbooks']",2023-10-15
Leadership Course Registration,Academic,شباب احد اخذ philosophy أو leadership.... هذا السمستر,"Leadership Section 04 , Monday 2-4pm Dr.Salwa","['leadership', 'course registration', 'Dr. Salwa']",2023-10-15
Engineering Drawing Materials,Academic,ياشباب احد عندو engineering drawing زايده اشتريها منه؟,لو لقيت زيادة هبقي ابلغك ان شاء الله بس موعدكش😅,"['engineering drawing', 'materials', 'purchase']",2023-10-17
Statics Book Request,Academic,ياشباب احتاج كتاب statics استعاره اول سمستر اللي عنده يكلمني خاص اذا ممكن.,@60182205961,"['statics', 'book request', 'borrow']",2023-10-17
Course Material Inquiry,Academic,ايش من ماده؟,Aircraft Instrumentation,"['Aircraft Instrumentation', 'course material']",2023-10-17
Book Request for Statics Course,Academic,ياشباب احتاج كتاب statics استعاره اول سمستر اللي عنده يكلمني خاص اذا ممكن.,Statics Made Simple by Zair Asrar Ahmad Abdul Rahman Musa Zainab Asus (z-lib.org).pdf • 325 pages,"['Statics', 'book request', 'first semester']",2023-10-17
English Course Registration,Academic,حد سجل الانجلش؟😅,,"['English course', 'registration']",2023-10-18
French Course Venue Inquiry,Academic,شباب مواد ال third language ال french.. وين ممكن احصل الvenue,في الغالب تكون في D06,"['French', 'third language', 'venue']",2023-10-19
Vibration Course Explanation Request,Academic,في احد يشرح vibration ؟,فايبريشن شوف YSAG بتلاقي الشباب منزلين شرح,"['Vibration', 'course explanation', 'YSAG']",2023-10-21
Control Engineering Course Material,Academic,السلام عليكم ي شباب حد عنده شروحات لمادة Control engineering ؟,,"['Control engineering', 'course material']",2023-10-23
Applied Thermodynamics and Heat Transfer Resources,Academic,شباب في احد عنده شرح ابلايد ثرمو Applied thermo and heat transfer,https://www.youtube.com/@lukis4216 شوف هذي القناه فيها Applied https://www.youtube.com/watch?v=aibQrrdCsgc&list=PLpJCAh-VaxEsxeN3xc0HSed4bmMQW5QYK وهذي heat,"['Applied thermodynamics', 'heat transfer', 'YouTube resources']",2023-10-25
Internship Report Submission,Academic,الانترن التسليم نسلم الريبورت واللوق بوك ولا الريبورت بس؟,الاثنين حط الاثنين في نفس الخانه,"['internship', 'report submission', 'log book']",2023-10-29
Non-Malay Language Course Inquiry,Academic,يا جماعة حد مأخذ لغات غير ماليزي هذا السمستر؟,,"['language course', 'non-Malay', 'semester']",2023-10-31
