topic,category,question,answer,keywords,timestamp
YSAG Leadership and Achievements,Academic,What are the achievements of YSAG for the year 2021-2022?,"📍 اقامة ندوة تعريفية في بداية كل فصل لطلاب الفاونديشن.📍تنظيم 'الجلسات التعليمية الافتراضية لطلاب الفاونديشن'.📍 اقامة دروس تقوية لطلاب الفاونديشن في مواد الفيزياء والكيمياء.📍 تحديث و اعادة ترتيب المكتبات الالكترونية للكليات الهندسية في مجموعات YSAG.📍تطوير قناة الـ YouTube وترتيب وفرز المحتوى ☑️ إضافة مايزيد عن 50 فيديو تعليمي لمجموعة من المواد الهندسية ☑️ إضافة مايزيد عن 25 قائمة تشغيل جديدة مقترحة من الطلاب السابقين ☑️ارتفاع عدد مشتركي القناة بنسبة 100% تقريبا - بعدد 445 مشترك ☑️اكثر من 850 ساعة مشاهدة [Watch time (hours)] ☑️اكثر من 11,000 مشاهدة اجمالية [Views] ☑️ 165,500 عدد مرات ظهور (Number of impressions) 📍عقد سلسلة من الندوات بعنوان (إستعد لسوق العمل) وذلك في المجالات التالية: ☑️الهندسة الميكانيكية ☑️هندسة البترول ☑️مجال الانشائات ☑️الهندسة المدنية ☑️هندسة الكمبيوتر 📍 فعالية بوابتك الى AIESEC بالتعاون مع aiesec JB 📍مسابقة تحدي الـ SolidWorks","['YSAG', 'achievements', '2021-2022', 'academic support', 'workshops', 'e-library', 'YouTube channel']",2022-03-10
YSAG New Leadership Announcement,Academic,Who are the new YSAG leaders for the year 2022-2023?,*YSAG President* - محمد البيتي +971503324041 *YSAG Vice-President* - عبدالله الشاطري ‏‭+60 18-252 8300‬ ........................................................ *Foundation* - مالك الشومي +966 53 687 6216 ....................................................... ‏- *Faculity of Biomedical Engineering* - اسامة الحميدي +974 6615 6389 ................................................... ‏- *Faculity of Petroleum Engineering* - عبدالله السقاف +60 11-6112 8644 ................................................... ‏- *Faculity of Chemical Engineering* - ابراهيم جابر +966 53 317 4895 ................................................... ‏- *Faculty of Civil Engineering* - عبدالملك مروان +60 11-2546 0237 ................................................... ‏- *Faculty of Electrical Engineering* - انس محمود +966 55 418 1004 .................................................... ‏- *Faculity of Mechanical Engineering* - هاني بن عفيف +966 53 730 2826 ....................................................... ‏- *Faculty of Computing* - عبدالعزيز توفيق +966 56 382 0279 ....................................................... -*Faculty of Management * - عزالدين احمد +60 11-6425 5452,"['YSAG', 'leadership', '2022-2023', 'president', 'vice-president', 'faculty heads']",2022-03-11
YSAG Website Launch,Academic,What services are provided on the new YSAG website?,"The new YSAG website provides all YSAG services under one platform, including: ⭐️ Upcoming Events ⭐️ E-Library ⭐️ YouTube Academic Content 📍Curriculum Lessons 📍Academic Programs and Workshops 📍Recommend Playlist ⭐️Contact Us. The website link is: https://sites.google.com/view/ysag","['YSAG', 'website', 'services', 'e-library', 'academic content', 'events']",2022-03-11
Final Exams Format Inquiry,Academic,What is the format of our final exams? F2f or online?,No specific answer provided in the chat.,"['final exams', 'format', 'F2F', 'online']",2022-03-15
Course Registration and Academic Calendar,Academic,Students can use this calendar to find out important dates for semester 2 session 2021/2022. Students may complete their course registration during the following dates:,"UTM JB: 17-18 Mac 2022
UTM KL: 18-19 Mac 2022","['course registration', 'academic calendar', 'semester 2', '2021/2022']",2022-03-15
Statistics Lecturers,Academic,يا جماعة ما حد يعرف دكاترة statistics؟,"Adina Najwa & Ani bin shabri 11
Norhaiza binti ahmad 12
Zarina binti Mohd 13","['statistics', 'lecturers', 'Adina Najwa', 'Norhaiza binti ahmad', 'Zarina binti Mohd']",2022-03-16
System Modeling Lecturers,Academic,طيب بخصوص ال system modeling هل تعرف احد من ذولا او عدو عليكم في مواد ثانيه,"Fazilah binti hassan 01
Nasarudin bin Ahmad 02
Sallehuddin bin Ibrahim 03 & 04","['system modeling', 'lecturers', 'Fazilah binti hassan', 'Nasarudin bin Ahmad', 'Sallehuddin bin Ibrahim']",2022-03-16
Course Registration for New Students,Academic,"Please be informed, the COMPULSORY SUBJECTS REGISTRATION will be held on 17 - 18 March 2022 through online at my.utm.my","Therefore, all new students, please register your subjects on that said date and if you need to add or delete or change the section, it can be made during the first week of the new semester begin which is on 20 - 24 March 2022 (no penalty)","['course registration', 'new students', 'compulsory subjects', 'online registration']",2022-03-17
Digital Electronics Lecturers,Academic,ياشباب بخصوص الديجتال الكترونيكس تنصحوني اخذ مع جي سو مان او ازلي بن يحيى,والله الاثنين كويسين ولكن انصحك بازلي اكثر,"['digital electronics', 'lecturers', 'جي سو مان', 'ازلي بن يحيى']",2022-03-18
Thinking of Science and Technology Lecturers,Academic,شباب مافي الا ذول الاثنين دكاتره للانترناشونال لمادة THINKING OF SCIENCE AND TECHNOLOGY في ايهم افضل؟,انا اخذت مع دكتورة اسمها كوثر (سودانية) وكانت جدا جيده,"['thinking of science and technology', 'lecturers', 'كوثر', 'سودانية']",2022-03-18
Course Registration and Amendments,Academic,شباب لو سويت سبمت الحين اقدر اعدل بعدها ولا خلاص,تقدر,"['سبمت', 'تعديل', 'كريديت']",2022-03-20
Course Registration and Amendments,Academic,يا شباب يوم نبي ننزل ٢٠ كريديت يقولك كلم الchair ويوم تكلمه يقولك ما عبيت الفورم وش يقصد بالفورم,ما يحتاج، في Amendments ضيف المادة ولو الكريدت حقك صار أكثر من 18 تلقائيا المادة هتنحط على وضع الانتظار والاوفيس هيوافق اذا الCGPA حقك كويس او يرفضوا اذا CGPA حق نازل,"['٢٠ كريديت', 'فورم', 'CGPA']",2022-03-20
University Software Access,Academic,هل جامعتنا بتقدمه لطلاب مجانا,نعم ادخل موقع my utm وبعدين software,"['جامعة', 'برنامج الاوفيس', 'مجانا']",2022-03-24
MATLAB Workshop Announcement,Academic,How and where exactly do we start?,"It's our pleasure to inform you that ISS-YEMEN has arranged a three-days workshop on MATLAB programming. We’ll be discussing the following topics: Day 1: Introduction to MATLAB, Day 2: Introduction to Control Systems, Day 3: Introduction to SIMULINK. Lectured by: Abdullah Sharaf, Date: 1-3 April 2022, Time: 10PM - 11PM (MYT), Platform: Online, Fees: Free, Matlab Version: 2016 and above. Certificate and UTM merit will be provided.","['MATLAB', 'workshop', 'ISS-YEMEN', 'UTM']",2022-03-26
System and Modeling Course Resources,Academic,اللي عنده قناة او اي احد باليوتيوب يشرح مادة الsystem and modeling يا ليت يرسلها,,"['system and modeling', 'يوتيوب', 'شرح']",2022-03-28
Course Registration and Amendment,Academic,"Please be informed, tomorrow 1st April 2022 will be the last day for course amendment (with penalty). Please check your course registration slip (my.utm.my -> profile -> slip -> course registration slip). Please make sure you are registered with the correct subjects and sections and all the subjects and sections are appear in your course registration slip.","If you have any problems with the elearning (only), please email to elearning@utm.my. Any matters regarding your course registration can be email to ugskbsk@biomedical.utm.my.","['course registration', 'course amendment', 'e-learning', 'penalty', 'subjects', 'sections']",2022-03-31
Academic Support and Resources,Academic,اللي عنده قناة او اي احد باليوتيوب يشرح مادة الsystem and modeling يا ليت يرسلها,https://youtube.com/playlist?list=PLBlnK6fEyqRjMH3mWf6kwqiTbT798eAOm,"['system and modeling', 'YouTube', 'academic resources', 'lectures']",2022-03-28
Professor Feedback and Course Selection,Academic,طيب Che lokman يدرسنا Engineering Mathematics كيف وضعه؟,ما نعرفه. ما درسنا. مين غيره؟ ليش ما سألتوا من أول يا جماعة.,"['Engineering Mathematics', 'Che lokman', 'professor feedback', 'course selection']",2022-03-31
Volunteering Opportunities,Student Life,يعلن YSAG عن فتح باب التقديم لخدمات YSAG الأكاديمية 👨🏻‍🎓📚,🔻 يمكنك المشاركة في:- 📍 التطوع و تقديم شرح لمواد علمية على قناتنا في اليوتيوب و أيضا مشاركة قوائم تشغيل مفيدة. 📍التطوع و تقديم كلاسات تقوية مباشرة للطلاب. 📍 التطوع في جمع الملفات مثل تست ١ ، تست ٢ ، فاينل و غيرها من الملفات القيمة التي تفيد الطلاب من خلال المكتبه الإلكترونية. 📍 واخيرا يمكنكم ايضا المساهمة في تقديم النصائح و الاقتراحات لأجل تطوير خدامتنا لكم. 📝 رابط المشاركة: https://forms.gle/uJmVr6cx7o9Z4AF26 📳 للمزيد من المعلومات والخدمات الأكاديمية التي نوفرها لكم يمكنكم زيارتنا عبر الموقع الإلكتروني الخاص ب *YSAG*: https://sites.google.com/view/ysag,"['volunteering', 'YSAG', 'academic services', 'tutoring', 'YouTube', 'resource sharing']",2022-03-30
