topic,category,question,answer,keywords,timestamp
Contact Information for Dr. Mohd Ariffanan Bin Mohd Basri,Academic,السلام عليكم احد يعرف رقم دكتور واتس Dr. Mohd Ariffanan Bin Mohd Basri,DR. AriffAnan.vcf (file attached),"['Dr. Mohd Ariffanan Bin Mohd Basri', 'contact', 'WhatsApp']",2022-03-02
YSAG Academic Resources,Academic,What are the main contents of the YSAG channel?,❇️ تحتوي قناة وايساج على ثلاث قوائم تشغيل رئيسية! 1. شروحات للمناهج التعليمية 2. برامج أكاديمية & ورش عمل 3. قوائم اخترناها لكم. رابط قناة اليوتيوب: youtube.com/c/YSAG-my,"['YSAG', 'academic resources', 'YouTube', 'playlists']",2022-03-09
High Voltage Technology Instructor Feedback,Academic,السلام عليكم ورحمة الله وبركاته شباب عساكم طيبين إن شاء الله نريد رايكم ف الدكتور إذا فيه حد يعرفه أو مدرسه فى مادة High voltage technology,No direct answer provided in the chat.,"['High voltage technology', 'instructor feedback', 'academic']",2022-03-09
Electronics Devices and Circuits Instructors,Academic,السلام عليكم شباب احد يعرف احد من ذول الدكاتره؟ Electronics devices and circuits,اغلب دكاترة هذه المادة متميزين,"['Electronics devices and circuits', 'instructors', 'academic']",2022-03-10
Study Mode Update for Electrical Engineering Faculty,Academic,What is the update on the study mode for the Electrical Engineering faculty?,"For postgraduate courses, week 1-5, hybrid. Week 6 onwards face to face. This from Dr Usman. خاص بكلية الهندسة الكهربائية باور. undergraduate courses will be updated soon.","['study mode', 'Electrical Engineering', 'postgraduate', 'hybrid', 'face to face']",2022-03-10
Fee Payment Deadline,Academic,اخر موعد لدفع المصاريف امته,أي وقت تبغى بس ما راح تقدر تنزل مواد السيمستر الجاي إلا بعد الدفع,"['fee payment', 'deadline', 'academic']",2022-03-10
Teaching Mode Preferences for Postgraduate Students,Academic,This survey form is to obtain the opinion of the postgraduate students of School of Electrical Engineering in Universiti Teknologi Malaysia (UTM) regarding the implementation of teaching and learning (T&L) through online or face-to-face mode for the upcoming semester (Semester 2 of Session 2021/2022) starting 20 March 2022.,Kindly note that your response is important and please fill up this form by 11.59pm on 13 March 2022. Please click this link to fill the form: https://forms.gle/aKZ9cx3qB9HiAdYd8,"['survey', 'postgraduate', 'teaching mode', 'online', 'face-to-face']",2022-03-12
YSAG Academic Group Leaders Announcement,Student Life,يعلن YSAG عن أسماء رؤساء المجموعات الاكاديمية لعام 2023-2022.,أسماء الطلاب المشرفين على المجموعات الأكاديمية لعام 2022: *YSAG President* - محمد البيتي +971503324041 *YSAG Vice-President* - عبدالله الشاطري +60 18-252 8300 ........................................................ *Foundation* - مالك الشومي +966 53 687 6216 ....................................................... ‏- *Faculity of Biomedical Engineering* - اسامة الحميدي +974 6615 6389 ................................................... ‏- *Faculity of Petroleum Engineering* - عبدالله السقاف +60 11-6112 8644 ................................................... ‏- *Faculity of Chemical Engineering* - ابراهيم جابر +966 53 317 4895 ................................................... ‏- *Faculty of Civil Engineering* - عبدالملك مروان +60 11-2546 0237 ................................................... ‏- *Faculty of Electrical Engineering* - انس محمود +966 55 418 1004 .................................................... ‏- *Faculity of Mechanical Engineering* - هاني بن عفيف +966 53 730 2826 ....................................................... ‏- *Faculty of Computing* - عبدالعزيز توفيق +966 56 382 0279 ....................................................... -*Faculty of Management * - عزالدين احمد +60 11-6425 5452 ........................................................,"['YSAG', 'academic groups', 'leaders', '2022-2023']",2022-03-11
YSAG Website Launch,Student Life,يعلن فريق YSAG الجديد لعام 2022-2023 عن موقع إلكتروني يوفر جميع خدمات *ال YSAG* تحت منصة واحدة.,رابط الموقع الإلكتروني التابع *ل YSAG:* https://sites.google.com/view/ysag,"['YSAG', 'website', 'services', '2022-2023']",2022-03-11
Hydraulic and Pneumatic Systems Lecturer Recommendation,Academic,يا شباب مين الدكاترة الكويسين في هاذي المادة Hydraulic and Pneumatic Systems حسب تجربتكم؟,Ahmad Athif Faudzi يوزع A+ كانه تراب ولا يبالي وكمان شخصيته جدا حلوه.,"['Hydraulic and Pneumatic Systems', 'lecturer', 'recommendation']",2022-03-14
Class Delivery Mode Information,Academic,هذي المواد الي راح تكون OL او BL 2021 2022 2,"الطريقة: *Myutm > Profile > Delivery mode > 202120222, if there's FC or BL, have to attend face to face classes* المفروض ايوا دامه قالك OL يعني اونلاين لو BL يعني الاثنين.","['delivery mode', 'OL', 'BL', 'face to face']",2022-03-14
Course Registration and Academic Calendar,Academic,فتح تسجيل المواد والا ايش ؟!,لا بيفتح ١٧ 12am,"['course registration', 'academic calendar', 'semester 2']",2022-03-15
Differential Equations Course,Academic,احد اخذ مع احد من هذولي الدكاتره ؟ DIFFERENTIAL EQUATIONS,موجود بس اعرف شباب اخذوها ترم الماضي ما ترحم😂😂,"['differential equations', 'lecturers', 'course']",2022-03-15
Digital Electronics Course,Academic,شباب كيف هذول الدكاتره احد يعرفهم؟ Digital Electronics,الدكتورة شرحها كويس و محترمة درجات تعطيك حقك,"['digital electronics', 'lecturers', 'course']",2022-03-15
Engineering Statistics Course,Academic,مين افضلهم Engineering Statistics,اشرد من ذي,"['engineering statistics', 'lecturers', 'course']",2022-03-16
System Modelling Course,Academic,احد يعرف ذولا في السيستم مودلينج او اخذ معهم اي ماده,روح عند ذا يوزع درجات,"['system modelling', 'lecturers', 'course']",2022-03-16
C Programming Course,Academic,كيف هذا الدكتور شباب ، C programming,زفت جدا جدا جدا جدا انتبه ثم انتبه تسجل معاه كان ينزل لنا كم فيديو في جروب الواتس وبعدين سحب ولا شرح شي,"['c programming', 'lecturers', 'course']",2022-03-16
Engineering Science Lecturer Recommendations,Academic,اي واحد من هذول الدكاتره كويسين؟,"HAYATI BTE ABDULLAH, ABD. RAHIM BIN ABU BAKAR, MD. NIZAM BIN DAHALAN, MUHAMMAD FAIZ HILMI BIN RANI, DESMOND DANIEL CHIN VUI SHENG, MAZLAN BIN ABDUL WAHID","['Engineering Science', 'lecturers', 'recommendations']",2022-03-16
Deferment Application Process,Academic,السلام عليكم ي شباب اللي عمل تاجيل للسمستر قبل كذا او له علم باجراءت ذا الموضوع يدخلي خاص اذا تكرمتم,"For deferment applications, students are required to write an official application letter and fill up the deferment form. Address the letter to Assoc. Prof. Dr. Mohamed Afendi Bin Mohamed Piah, Associate Chair (Academic & Student Development), School of Electrical Engineering, Faculty of Engineering, Universiti Teknologi Malaysia. Include the reason for deferment and get it verified by an Academic Advisor. Submit the form and letter to the Faculty/School Academic Office.","['deferment', 'application', 'UTM', 'academic advisor']",2022-03-16
Professional Communication Skills Lecturer Recommendation,Academic,تنصحون اي دكتور فالمادة هذي؟ Professional Communication Skills,"This lecturer is excellent and very helpful, with great patience.","['Professional Communication Skills', 'lecturer', 'recommendation']",2022-03-16
C Programming Lecturer Feedback,Academic,C programming مافي الا ذول دكتورين تنصحو مع مين,Avoid this lecturer; he is very poor in teaching and grading. He is unresponsive and gives low grades without proper justification.,"['C programming', 'lecturer', 'feedback', 'grading']",2022-03-16
Engineering Mechanics Lecturer Recommendation,Academic,هل تعرفوا دكتور كويس لهذه الماده Engineering Mechanics,"Prof. Dr. Zaharuddin Mohamed is an excellent lecturer, very helpful in explaining and grading.","['Engineering Mechanics', 'lecturer', 'recommendation']",2022-03-16
Graduation Project Preparation Workshop,Academic,What is the link for the 'Prepare for Your Graduation Project' workshop?,The link for the workshop is: https://youtu.be/YFfsXDIlfKE,"['graduation project', 'workshop', 'Ammar Hadwan', 'YSAG']",2022-03-16
Finding Lecturer Information,Academic,Where can I find the photos and information of lecturers?,You can search for the lecturer's name on the UTM directory: https://www.utm.my/directory/staff/kwanyiew or check the Electrical Circle UTM Facebook page: https://www.facebook.com/ElectricalCircleUTM/photos/pcb.1857064327823019/1857064104489708,"['lecturer information', 'UTM directory', 'Electrical Circle UTM']",2022-03-16
Lecturer Recommendations for Electronic Systems,Academic,Who is the best lecturer for Electronic Systems?,Ts. Dr. Zaharah Binti Johari is highly recommended for Electronic Systems.,"['Electronic Systems', 'lecturer recommendation', 'Zaharah Binti Johari']",2022-03-16
Control System Design Lecturer Feedback,Academic,How is the lecturer for Control System Design (SEEE3143)?,The lecturer doesn't explain well but gives good grades and the project is simple. Another lecturer is strict in grading but excellent in teaching.,"['Control System Design', 'SEEE3143', 'lecturer feedback']",2022-03-16
Digital Systems Lecturer Feedback,Academic,Who is the best lecturer for Digital Systems?,"Herman is highly recommended for Digital Systems, though he is strict in grading.","['Digital Systems', 'lecturer feedback', 'Herman']",2022-03-16
English 3 Timetable,Academic,Does anyone have the timetable for English 3?,English 3 classes are usually on Tuesdays after 1 PM.,"['English 3', 'timetable', 'UTM']",2022-03-16
Excel Course Timetable,Academic,Does anyone have the timetable for the Excel course (UKQ3001)?,"The timetable for UKQ3001 is not available yet, but it is usually scheduled on Tuesdays after 1 PM.","['Excel', 'UKQ3001', 'timetable']",2022-03-16
Feedback on Lecturer for DE Course,Academic,How is the lecturer for the DE course?,"The lecturer is good for the DE course, and students have had a positive experience with her.","['DE course', 'lecturer feedback']",2022-03-16
Course Schedule Inquiry,Academic,شباب أحد عنده جدول مادة الاكسل UKQ3001 ؟,اهااا تمام يعطيك العافية,"['جدول', 'مادة الاكسل', 'UKQ3001']",2022-03-17
Course Schedule Inquiry,Academic,ياشباب حد عنده جدول english 3?,مفيش جدول ليها ميعادها دايما يوم التلات بعد الساعة ١,"['جدول', 'english 3', 'مواعيد']",2022-03-17
Professor Recommendation,Academic,درسني سجنال اند سيستم,درسني كان كويس ومتساعد ومره ما يعصب,"['سجنال اند سيستم', 'دكتور', 'توزيع الدرجات']",2022-03-17
Professor Recommendation,Academic,مين يعرف اخذ ماده technology thinking and science ينصحنا ع دكتور كويس,ال ايرانيه تجيب A++,"['technology thinking and science', 'دكتور', 'ايرانيه']",2022-03-17
Professor Recommendation,Academic,ياجماعة مين افضل دكتور للenglish 3? واحد يكون متساهل ومايدقر,Khadijah,"['english 3', 'دكتور', 'متساهل']",2022-03-17
Course Registration,Academic,يا شباب التسجيل قفل ولا ايش ؟,بالله احد يعرف توقيت introduction to entrepreneurship ?,"['التسجيل', 'introduction to entrepreneurship', 'مواعيد']",2022-03-17
Course Registration,Academic,انا عملت PreRegistration ١٦ كريدت بس و الحين حابب اضيف كمان كريدت واحد الexcel بس ما يظهر عندي اني اقدر اضيف ؟,اعتقد الموقع معلق شوي,"['PreRegistration', 'اضافة مادة', 'الاكسل']",2022-03-17
Professor Contact Information,Academic,اريد رقم Dr Mohd Ridzuan Bin Ahmed,Mohd Ridzuan Ahmad.vcf (file attached),"['Dr Mohd Ridzuan Bin Ahmed', 'رقم', 'اتصال']",2022-03-17
Professor Contact Information,Academic,ممكن احد يرسل رقم هذا الدكتور Dr. Amirjan bin Nawabjan,+60 13-363 4458,"['Dr. Amirjan bin Nawabjan', 'رقم', 'اتصال']",2022-03-17
Course Registration for English 2,Academic,سلام ياشباب احد قدر يسجل في مادة English 2 ?,يب انا سجلت,"['English 2', 'course registration']",2022-03-18
Course Registration for English 2,Academic,كيف ؟ احاول ادخل الكود يطلع لي انه غير متوفرة,انا لما جربت ابحث عنها ملقتهاش بس شفت السكاشن من الايليرنج وكتبت الكود والسكشن واتسجلت معايا,"['English 2', 'course registration', 'code', 'section']",2022-03-18
Course Registration for English 2,Academic,اذا احد عرف الطريقة يعطينا خبر يا شباب,تدخل على compulsory Registration بعدين add new course بعدين حق الكود و السكشن وسوي save ان شاء الله تزبط معاكم,"['English 2', 'course registration', 'compulsory registration', 'add new course']",2022-03-18
Course Registration for English 2,Academic,اي لكن ترا نحط انجليزي ٢ مايظهر شي,والله مادري بصراحة طيب جرب تحط السكاشن اللي على كلية الكهرباء,"['English 2', 'course registration', 'section', 'faculty']",2022-03-18
Course Registration for English 2,Academic,معليش بس كيف اعرف انه هذه سكاكشن بالكليه او لا 😂😅 .. اول مره اسجل,اظن يحطوها في الموقع حقهم اللي في الكلية والله ناسي كيف نزلتها انا,"['English 2', 'course registration', 'section', 'faculty']",2022-03-18
Course Registration for English 2,Academic,اخر وقت نسوي submit امتي؟,اليوم في الليل يقفل التسليم لكن افضل شي اذا متاكد من المواد اللي عندك سويلها تسليم عشان الادفايزر يسويلها تاكيد بدري,"['English 2', 'course registration', 'submit', 'deadline']",2022-03-18
Course Registration for English 2,Academic,شباب جداول english 3 نزل ؟,العفو ياغالي,"['English 3', 'timetable']",2022-03-18
