topic,category,question,answer,keywords,timestamp
E-learning Platform Issue,Academic,E-learning كل مره تبدا تذاكر : مهو شغال معي الان احد مثلي ؟,شغال عندي,"['E-learning', 'platform issue', 'study']",2024-07-01
Registration Status Inquiry,Academic,التسجيل لسى فاتح او خلص؟,زلج اعتقد,"['registration', 'status', 'inquiry']",2024-07-01
Software Engineering Expertise,Academic,من هو الدكتور الثاني؟ وهل ماستر ودكتوراه في المجال العملي ولا الاكاديمي؟,بالمناسبة حسب ما اعرف عديلة وحدة من دكتورين فقط بكل كليتنا الي فعلا مختصين بال software engineering يعني عمل الماستر والدكتوراة في المجال,"['software engineering', 'expertise', 'masters', 'PhD']",2024-07-01
Final Exam Syllabus Inquiry,Academic,ايش المقرر في مادة الساد لاختبار الفاينال ؟,SYSTEM ANALYSIS AND DESIGN من شابتر ٤ لاخر شي,"['final exam', 'syllabus', 'system analysis and design']",2024-07-03
Past Exam Papers Request,Academic,أحد عنده اختبارات سابقة للـ OOP ؟,وعليكم السلام <Media omitted> <Media omitted>,"['past exam papers', 'OOP', 'request']",2024-07-05
Short Semester Course Survey,Academic,"Hi guys, here's a survey to see if there are any students interested in taking short semester this semester break (August 2024 - September 2024).",للراغبين بالتسجيل في الـshort semester يتوفر هذي المواد الثلاث آخر موعد لتعبئة الفورم هو اليوم، سيتم إرسال الفورم للمكتب الأكاديمي غدًا,"['short semester', 'survey', 'courses', 'academic']",2024-07-06
Final Exam Chapters Inquiry,Academic,لو سمحتم ممكن حد يرسل ال chapters الداخلة في الفاينال لمادتي ال SQA and CI.,مشكور,"['final exam', 'chapters', 'SQA', 'CI']",2024-07-07
Final Project Assistance,Academic,مساء الخير يا شباب احد عنده final prpject DL Desin Elevator?,يعيال ضيفو 2023 final لل YSAG library,"['final project', 'DL', 'elevator design', 'YSAG library']",2024-07-07
Outstanding Fees Inquiry,Academic,يا عيال الي ما قد دفع outstanding حق السمستر ما يخش الفاينل؟,عادي تخش، بس ما تقدر تشوف النتائج بعدين,"['outstanding fees', 'final exam', 'results']",2024-07-07
Lecturer Contact Information,Academic,شباب حد عنده رقم الدكتور mohd razak و كمان muhammed luqman ؟,Mohd. Razak bin Samingan.vcf (file attached),"['lecturer', 'contact information', 'Mohd Razak', 'Muhammed Luqman']",2024-07-08
Past Exam Papers Request,Academic,Anyone here got Computational Intelligence past papers? it would be great if anyone can share with us.,<Media omitted> <Media omitted> <Media omitted>,"['past exam papers', 'computational intelligence', 'request']",2024-07-09
Lecturer Contact Information,Academic,حد عنده رقم Ahmad Fariz bin Ali احتاجه ضروري,https://t.me/afa_sc,"['lecturer', 'contact information', 'Ahmad Fariz bin Ali']",2024-07-10
Final Exam Papers Request,Academic,اذا عندكم اختبارات COA final 2020 وفوق ارسلوها اذا سمحتم,<Media omitted> <Media omitted> @601111544800,"['final exam papers', 'COA', 'request']",2024-07-11
Past Exam Papers Request,Academic,يا شباب احد عندو ال past years finals لمادة CM ? بس يكون قريب ، يعني مع ٢٠٢٠ و طالع ؟,,"['past exam papers', 'CM', 'request']",2024-07-12
Lecturer Contact Information,Academic,في حد عنده ارقام Dr. Norafida و Dr. Yusliza؟,+60 19-272 9197,"['lecturer', 'contact information', 'Dr. Norafida', 'Dr. Yusliza']",2024-07-16
Final Exam Papers Request,Academic,شباب الي معاه فاينلات تاريخ قريب ماده PT2 يرسل لنا وشكرا,,"['final exam papers', 'PT2', 'request']",2024-07-16
Final Exam Papers Request,Academic,أحد عنده فاينل ل special topic IOT؟,+1,"['final exam papers', 'IOT', 'request']",2024-07-16
Final Exam Papers Request,Academic,أحد عنده فاينلات حق مادة Software Engineering ؟,,"['final exam papers', 'software engineering', 'request']",2024-07-17
Attendance Report Inquiry,Academic,يا عيال هل attentance report الحين يطلع و من فين اطلعه؟,ارسل ايميل لروحاني اطلب منها ال attendance report بترسلك اياه انت عبيه وجمع توقيعات الدكاتره بعدين رجعلها اياها بتجيبلك توقيع الدين على ما اعتقد بعدين يصير جاهز عندك,"['attendance report', 'inquiry', 'email']",2024-07-28
Senate Meeting Inquiry,Academic,السلام عليكم، حد يعرف متى الsenate meeting؟,<Media omitted> <Media omitted>,"['senate meeting', 'inquiry']",2024-07-29
