topic,category,question,answer,keywords,timestamp
Discrete Structures Exam Preparation,Academic,أحد معاه إختبارات مادة discrete,,"['discrete', 'exam', 'test']",2024-12-01
Digital Logic Slides Request,Academic,السلام عليكم ممكن سلايدات ماده digital logic,https://drive.google.com/file/d/1_f7ZjUtfpIrGN4gixWGu1uCAOVHV8ahZ/view?usp=sharing,"['digital logic', 'slides', 'study material']",2024-12-01
University Fees Inquiry,Student Life,السلام عليكم ، يخوان عندي سؤال ، رسوم الجامعة بتقعد ثابته؟ ولا تتغير كل سنه,اذا انت بدأت مثلا برسوم ٥٥٠٠ رنقت تستمر معك لين تتخرج حتى لو رفعوا على الطلاب الجدد,"['university fees', 'tuition', 'student life']",2024-12-05
Web Development Specialists Inquiry,Academic,السلام عليكم، من هم الدكاترة المتخصصين في مجال الويب في جامعتنا؟ عندي استشارة,عندك زوريفا، في دكتور احمد نجمي +60 13-748 1261,"['web development', 'consultation', 'specialists']",2024-12-05
Network Communication Exam Preparation,Academic,Anyone has any Network Communication prev midtest related to chapter 2 and 3?,,"['network communication', 'exam', 'midtest', 'chapter 2', 'chapter 3']",2024-12-08
Digital Logic Exam Preparation,Academic,هل في حد معاه Test 2 للdigital logic محلولة,,"['digital logic', 'test 2', 'exam', 'solved']",2024-12-15
Course Registration Slip Inquiry,Student Life,طلاب سمستر اول ضروري يكون مع course registration slip ? ومن وين نطلعها إذا في؟,UTM portal > profile > slip. كل الطلاب لازم يكون معاهم الcourse registration slip و الmatric card في الfinal وإلا ما يسمحلك تخش الاختبار,"['course registration slip', 'final exam', 'student life']",2024-12-17
Printer Location Inquiry,Student Life,السلام عليكم ، يخوان وين احصل طابعه؟ عندي اوراق ابغا اطبعها ( في الجامعة ),الدور الخامس عند ال computing faculty عندهم طابعه بنفس المكان اطبع لين بكرا,"['printer', 'university', 'student life']",2024-12-22
Printer Location at University,Student Life,السلام عليكم ، يخوان وين احصل طابعه؟ عندي اوراق ابغا اطبعها ( في الجامعة ),الدور الخامس عند ال computing faculty. عندهم طابعه بنفس المكان اطبع لين بكرا. اطلع الدور الخامس n28 ولف يسار وكمل مشي واطبع الي تحتاجه.,"['طابعه', 'جامعة', 'computing faculty', 'الدور الخامس']",2024-12-22
Course Registration for Next Semester,Academic,السلام عليكم. متى تسجيل المواد للترم الجاي؟,تقريبا تاريخ ٦ او ٣. 5 January و يقفل يوم 16.,"['تسجيل المواد', 'الترم الجاي', 'جدول المواد']",2024-12-28
Special Registration Before Semester Starts,Academic,ممكن عادي تسوي تسجيل special registration قبل بدايه السمستر؟,,"['special registration', 'بداية السمستر']",2024-12-29
Course Schedule Availability,Academic,جدول المواد نزل ؟,لا,"['جدول المواد', 'نزل']",2024-12-30
