topic,category,question,answer,keywords,timestamp
Youth Speak Forum Roadshow Event,Student Life,What are the details of the Youth Speak Forum Roadshow event?,"The event is a panel discussion on Workforce and Technology featuring Hoh Chew Wen, Ex-Marketing Lead of UTM AIROST Club. It will be held on Saturday, 8 June 2024, from 9:30 AM to 5 PM at DK8, N24. The event is free, and UTM Merit will be provided. Registration link: https://shorturl.at/auIR8. For inquiries, contact OC Delegate Service: Ong Hong Yao via Telegram: https://t.me/ONGHONGYAO or WhatsApp: https://wa.me/60183680023.","['Youth Speak Forum', 'Workforce and Technology', 'UTM AIROST Club', 'Hoh Chew Wen', 'DK8', 'N24', 'free event', 'UTM Merit']",2024-06-03
MyKad Information,Visa/Immigration,What is MyKad?,MyKad is the Malaysian identity card issued after receiving the passport.,"['MyKad', 'identity card', 'Malaysia']",2024-06-04
International Office Hours,Academic,What are the opening hours of the International Office?,"The International Office opens from 8 or 9 AM to 12:30 PM, with a break from 12:30 PM to 2:30 PM, and then reopens from 2:30 PM to 4 PM.","['International Office', 'opening hours', 'UTM']",2024-06-04
Professor Contact Information,Academic,What is the email of Dr. Dayang from the Academic Office?,The email for Dr. Dayang is dayang@utm.my. She is the Deputy Dean.,"['Dr. Dayang', 'Academic Office', 'email', 'Deputy Dean']",2024-06-04
Course Registration,Academic,When does course registration open?,"The course list will be released on the 12th, and registration will start on the 16th.","['course registration', 'course list', 'UTM']",2024-06-12
Professor Evaluation,Academic,Where can I evaluate professors?,You can evaluate professors through the UTM Portal > Student Portal > ePPPK.,"['professor evaluation', 'UTM Portal', 'ePPPK']",2024-06-12
Timetable Release,Academic,Has the timetable been released?,"Yes, the timetable has been released. You can access it here: https://bit.ly/Timetable202420251.","['timetable', 'course schedule', 'UTM']",2024-06-16
Professor Recommendations,Academic,Who is the best professor for Database?,Nies Hui Wen is highly recommended for Database.,"['Database', 'Nies Hui Wen', 'professor recommendation']",2024-06-16
Course Selection,Academic,Who is better for Application Development: Hishamuddin or Mohd Razak?,Hishamuddin is highly recommended for Application Development.,"['Application Development', 'Hishamuddin', 'Mohd Razak', 'course selection']",2024-06-16
Course Selection,Academic,Who is better for Internet Programming: Norizam bin Katmon or Nor Azizah Binti Sa'adon?,Norizam bin Katmon is recommended for Internet Programming as he is knowledgeable in coding.,"['Internet Programming', 'Norizam bin Katmon', ""Nor Azizah Binti Sa'adon"", 'course selection']",2024-06-16
