topic,category,question,answer,keywords,timestamp
Requirements for Yemeni Visitors to Malaysia,Visa/Immigration,What are the requirements for Yemenis to enter Malaysia?,"You can fill out the data form before arriving, two days in advance. Here is the link to the form: https://forms.gle/EktXNj4VJyMPhbJi9.","['Yemeni', 'Malaysia', 'requirements', 'form']",2025-03-01
Transfer of Funds from Malaysia to Saudi Arabia,Other,How can I transfer money from Malaysia to Saudi Arabia?,Please ask someone who is knowledgeable about the local options or financial services available for transferring money.,"['transfer', 'funds', 'Malaysia', 'Saudi Arabia']",2025-03-01
Transit Procedures in India,Visa/Immigration,What are the requirements when transiting through India?,"If anyone has information regarding transit in India, please share it.","['transit', 'India', 'requirement']",2025-03-02
Changes in UTMI Working Hours During Ramadan,Academic,Do the working hours for UTMI change during Ramadan?,"Yes, there are adjusted working hours during Ramadan.","['UTMI', 'working hours', 'Ramadan']",2025-03-04
New Students Orientation at UTM,Academic,When is the new students orientation program at UTM?,"The orientation program is on March 6, 2025, from 8:00 AM to 5:45 PM at Lecture Hall 8, Block N24, UTM.","['new students', 'orientation', 'UTM']",2025-03-05
Confirmation Letter Request Procedure,Other,How do I obtain a confirmation letter?,Send them an email; they will send it to you directly.,"['confirmation letter', 'request']",2025-03-05
Registration Timeline for New Semester Students,Academic,When should new students register for their courses?,They will receive an email a week before the semester starts for registration details.,"['registration', 'new students', 'semester']",2025-03-05
Confirmation Letter Inquiry,Academic,كيف اطلع confirmation letter?,ارسلهم ايميل بيرسلوها لك على طول.,"['confirmation letter', 'email', 'inquiry']",2025-03-05
Semester Fees Payment Information,Student Life,هل فيه معلومات حساب بنك تبع الجامعه ممكن احول عليه رسوم السمستر ؟,ادفع من UTM smart.,"['semester fees', 'bank account', 'payment']",2025-03-05
English Language Certificate Verification Time,Academic,كم ياخذو وقت للتأكد من موضوع شهادة اللغة الانجليزية؟,10 - 20 يوم تقريبا.,"['English language certificate', 'verification', 'time']",2025-03-05
Fellow Assistant Position Application,Academic,فيه فرصة للانضمام كمساعد زميل في UTM؟,"Priority will be given to candidates in the early stages of their studies. All completed physical application forms must be submitted to the Secretary, Council of Residential College Principals, by March 12, 2025.","['Fellow Assistant', 'application', 'UTM']",2025-03-06
Visa Status Inquiry for Student Application,Visa/Immigration,كيف أقدم على فيزا طالب مع وجود فيزا سياحية؟,لازم الخروج من ماليزيا، لأن المجريشن نفسه بيرفض الفيزا.,"['student visa', 'tourist visa', 'application process']",2025-03-06
Commissioner for Oaths Office Inquiry,Other,هل في مكتب مرخص من Commissioner for Oaths في سكوداي؟,ابحث عن notary public وشوف اقرب واحد لك.,"['Commissioner for Oaths', 'notary public', 'Skudai']",2025-03-06
ATM Withdrawal with Saudi Card,Student Life,اش الصرافات اللي اقدر اسحب فلوس بالبطاقه (البطاقه سعوديه)?,تقريبا كلها تقدر لكن حسب البطاقه اذا فيزا تقريبا بكل صرافه.,"['ATM', 'withdrawal', 'Saudi card']",2025-03-06
