topic,category,question,answer,keywords,timestamp
Visa Renewal and Travel Concerns,Visa/Immigration,هل يمكنني السفر بدون أن أسلم جواز السفر لأن فيزتي تنتهي بعد العودة؟,ممكن الجواز يكون هناك في فتره اسبوعين إلى ثلاثه أسابيع. ما ينفع ترجع وفيزتك منتهية. اما تسافر وترجع قبل ما تنتهي الفيزا او تنتظر الفيزا تتجدد وتسافر.,"['visa', 'renewal', 'travel']",2025-01-03
Insurance and Medical Facilities,Academic,هل يعرف أحد عيادة متخصصة في العظام أو مستشفى تقبل التأمين؟,ليس لدي تفاصيل بذلك.,"['insurance', 'medical', 'hospital']",2025-01-01
Cultural Committee Activities,Academic,هل هناك نشاطات من اللجنة الثقافية حالياً؟,اللجنة الثقافية شغالة ما شاء الله.,"['cultural committee', 'activities']",2025-01-03
Car Project Requirements,Academic,أين يمكنني العثور على قطع غيار لصنع سيارة؟,بتاخذ ورقه من دكتورك وتروح احد اللابات وتسوي مشروعك، والاشياء الالكترونيه الثانيه في كلية الكهربا في محل يبيعها.,"['car project', 'parts', 'supplies']",2025-01-04
Traveling to Singapore by Bus,Visa/Immigration,هل يمكنني الذهاب إلى سنغافورة بالباص والسفر بعد ذلك من المطار؟,يمديك كلاهما طالما أنك تمتلك الفيزة.,"['Singapore', 'travel', 'bus', 'visa']",2025-01-03
Prototype Model for Car Parts,Academic,مثل إيش قطع سيارات بدك يعني؟ مكينه؟ جير؟ أجزاء البودي؟,أجزاء البودي تجيبها من محل سكراب .. أو تروح لمخبر الأوتوموتيف و الفنيين هناك تشرحلهم إيش بدك تعمل و يدلوك كيف تستخدم المخبر منشان تصنع المجسم اللي بدك.,"['Prototype', 'Car Parts', 'Model']",2025-01-04
PhD Admission Criteria,Academic,هل يقدر احد يقدم على برنامج الدكتوراه لو جاب معدل تراكمي 3.8 في البكالوريوس بدون مايأخذ ماستر؟,نعم.,"['PhD', 'Admission', 'Bachelor']",2025-01-04
Semester Duration and Exam Schedule,Academic,الحين السمستر الواحد كم اسبوع؟,١٥ أسبوع، بعدها فترة الاختبارات النهائية وتجي بالعادة شهر ونص.,"['Semester', 'Duration', 'Exams']",2025-01-04
Student Verification Process,Academic,كيف أطلع Student Verification؟,تطلعها من البورتال UTM portal- profile-Academic verification، تطلع في يومين إلى ثلاث أيام عمل.,"['Student Verification', 'Process', 'Portal']",2025-01-05
Credit Exemption Calculation,Academic,هل ال credit exemption يتم حسابه ضمن الcredits counted؟,ما تنضاف لك في ال credits لكن بيكون موضح في الترانسكربت انه ٢ كريدت exemption.,"['Credit Exemption', 'Credits', 'Academic']",2025-01-07
University Emergency Contact Number,Other,حد عنده رقم طوارئ الجامعه للعياده؟,@966509473092.,"['University', 'Emergency', 'Contact']",2025-01-06
Visa Renewal Process,Visa/Immigration,وين احصل الطريقة حقت تجديد الفيزا؟,يمكنك الرجوع إلى ملف PDF بعنوان 'Visa_Renewal_MANUAL_STUDENT.pdf'.,"['Visa', 'Renewal', 'Process']",2025-01-10
