topic,category,question,answer,keywords,timestamp
Driving License in Malaysia,Student Life,السلام عليكم ورحمة الله. شباب بسال على طريقة الحصول على رخصه قيادة سيارة 🚘 . اذا احد عنده اى معلومه,"- الطريقة النظامية:
مدرسة قيادة ماليزية

- الطريقة غير النظامية:
انك تكلم شخص يطلعلك رخصة دولية غير رسمية لكنها تمشي الحال

أو لو عندك رخصة قيادة من بلدك، تجيب رخصة قيادة دولية من هناك","['driving license', 'Malaysia', 'student life']",2023-11-04
Driving License in Malaysia,Student Life,الي عنده علم كيف الطريقه الغير نضاميه و عنده رقم ايجنت يسويها يكلمني خاص,"بالنسبة لغير النظامية فما عندي خلفية صراحة. اسألوا باقي الشباب فهم أعلم مني 👍🏻

بالنسبة للمشاكل، ممكن تسمع كلمة كلمتين من الشرطة إذا وقفوك، بس الأغلب سمعت انه يمشوهم","['driving license', 'Malaysia', 'student life', 'non-official']",2023-11-04
Driving License in Malaysia,Student Life,هل لو شخص عنده رخصه من دولته وجاب دوليه اللي بتتباع هنا مسموحه؟,"الي ""بتتباع هنا"" كلها غير نظامية

الطريقة الوحيدة النظامية هي انك تاخذ رخصة ماليزية مسجلة تحت اسمك وجوازك في أنظمة الدولة","['driving license', 'Malaysia', 'student life', 'international license']",2023-11-04
Academic Material Request,Academic,"في ماده مضافه معانا السنه ذي فاونديشن Fundmental of programing

FOP ما حصلت الماتيريال حقها في مكتبت الوايساج هل في احد عنده المتريال الاختبارات و كذا؟","ادخل سيمستر 1 مادة programming technique 1 الماتيريل نفسه

في شوية شابترات زايده فتأكد انك تدرس الي مطلوب منك","['academic material', 'FOP', 'programming', 'foundation']",2023-11-05
Car Rental Information,Student Life,شباب ممكن ارقام ناس يأجرون سيارات,"https://t.me/issyemen_bot
تلاقي بخانة الخدمات

socar

في اكواد خصم رهيبة","['car rental', 'student life', 'Malaysia']",2023-11-06
Review Classes for Exams,Academic,ياشباب اي احد يقدر سوي كلاسات مراجعه يراجع فيها اي مادة للطلاب قبل بداية اي اختبار سواء كان  test 1 او test2 يتواصل معي.,انت كطالب حاب تشرح لزملائك الطلاب تعال نقدر نوفر لك كل شي تحتاجه من كلاس، لاب، او حتى رابط زوم اونلاين.,"['review classes', 'exams', 'test 1', 'test 2']",2023-11-07
University Library Opening Hours,Student Life,السلام عليكم، المكتبة فاتحةً بكرة ولا تقفل عشان الديبافالي مدري ايش اسمة,"مفتوحة

تكون مقفلة يوم الاحد","['library', 'opening hours', 'Deepavali']",2023-11-08
Mid-Semester Break,Academic,"الmid-sem break 
الأسبوع الي بعد الجاي؟","نعم، هذا آخر اسبوع دراسة

تاريخ 26","['mid-semester break', 'academic calendar']",2023-11-17
Internet Programming Course,Academic,حد أخذ مادة Internet programming يراسلني خاص بالله.,,"['internet programming', 'academic', 'course']",2023-11-18
IKAD Renewal Form,Visa/Immigration,"سلام عليكم , احد عنده فورم تجديد ال IKAD ؟",https://forms.gle/8gdHowhdJZg3s1eTA,"['IKAD', 'renewal', 'visa', 'immigration']",2023-11-16
