topic,category,question,answer,keywords,timestamp
Professor Evaluation for SOLID 2 Course,Academic,يا شباب احد درس او يعرف الدكتور شكور كيف هو وخاصه مع الاونلاين اذا احد اخذ معه؟,اخذت معه سولد٢ بصراحه في البدايه كان شرحه كويس بس بعدين ما ادري ايش فيه صار شرحه مش مفهوم ابداً😅 بس فهمت منه اول شابترين الباقي كله من اليوتيوب بس الشي الوحيد الي حلو في دكتور شوكور انه يرشك previous و يكون محلول بعد,"['SOLID 2', 'Dr. Shokor', 'online classes', 'teaching style']",2021-08-10
Professor Evaluation for Components Design Course,Academic,هذي اخذت معاها components design يعني ماشي حالها شرحها مش الافضل وتعطي اسايمنتات بسيطه بعد كل درس بس طيبه وتزبط بالدرجات,هذي اخذت معاها components design يعني ماشي حالها شرحها مش الافضل وتعطي اسايمنتات بسيطه بعد كل درس بس طيبه وتزبط بالدرجات,"['Components Design', 'assignments', 'teaching style', 'grading']",2021-08-10
Professor Evaluation for Electrical Engineering,Academic,شباب افضل دكتور لل electrical engineering?,عند هذي وانت مغمض طيبه جداً شرح رهيب وفي الدرجات تعطيك اذا انت ممتاز معاها,"['Electrical Engineering', 'best professor', 'teaching quality', 'grading']",2021-10-10
Professor Evaluation for Dynamics Course,Academic,هذا لل dynamics?,شرحه حلو جدا و دماغه كويسه جدا بس معاملته strict,"['Dynamics', 'teaching style', 'strict professor']",2021-10-11
Professor Evaluation for English 2 Course,Academic,بخصوص English 2 ?,الافضل محترمه و الواجبات كثيره (تشغلك شوية) لكن في الدرجات ممتازة,"['English 2', 'assignments', 'grading', 'teaching style']",2021-10-11
Professor Evaluation for Math 2 Course,Academic,شباب مين يعرف ذول؟؟ لماث 2,هذا اخذت عنده كويس مابه شي,"['Math 2', 'teaching style', 'grading']",2021-10-11
Professor Evaluation for Fluid Course,Academic,درسني فلويد بصراحه ما كنت فاهم شرحه لكن الدكتور مرررررررررره طيب,درسني فلويد بصراحه ما كنت فاهم شرحه لكن الدكتور مرررررررررره طيب,"['Fluid', 'teaching style', 'understanding', 'kind professor']",2021-10-11
Professor Evaluation for Manufacturing Processes Course,Academic,هذا اخذت معاه manufacturing processes يشرح بالواتس اب يرسل فويس نوت عشان يشرح الدرس يسحب طول السمستر ويضغطك باخر السمستر ويرسل فوق ال ١٠٠ فويس نوت مره وحده وانت المفترض تسمعها كلها,هذا اخذت معاه manufacturing processes يشرح بالواتس اب يرسل فويس نوت عشان يشرح الدرس يسحب طول السمستر ويضغطك باخر السمستر ويرسل فوق ال ١٠٠ فويس نوت مره وحده وانت المفترض تسمعها كلها,"['Manufacturing Processes', 'WhatsApp teaching', 'voice notes', 'teaching style']",2021-10-11
Professor Evaluation for System Design Course,Academic,الشباب اللي اخذوا system design من احسن واحد,في الشرح تقريباً كلهم نفس الشيء بس هذا تعامله محترم ويراعيك بالدرجات,"['System Design', 'best professor', 'teaching style', 'grading']",2021-10-12
Professor Evaluation for Electronics Course,Academic,الكترونيكس ؟,شرحه عادي جدا وطيب ومحترم بس سلايداته ناقصة انا اذاكر من سلايدات سكاشن مختلفة,"['Electronics', 'teaching style', 'slides', 'grading']",2021-10-12
