topic,category,question,answer,keywords,timestamp
Mathematics Integration Chapter Review,Academic,بيكون ان شاءالله integration وللا التشابتر اللي بعده ، ما خضرت السبت,وعليكم السلام ورحمة الله وبركاته ، يوم السبت مرينا على تشابتر ال integration وحلينا أسئلة لكل نوع من أنواعها . حصة يوم الاثنين حتكون عبارة عن حل اختبارات سابقة عن وحدة التكامل .,"['integration', 'mathematics', 'test 2', 'review']",2024-06-02
Physics Circuit Chapter Review,Academic,هل اللقاء رح يكون مسجل ؟,أفضل تدخل بس...,"['physics', 'circuit', 'test 2', 'review']",2024-06-03
Final Exam Schedule Inquiry,Academic,متى الموعد النهائي لاختبارات النهائية,بداية يوم 9/7 و النهاية يوم 11/7,"['final exam', 'schedule', 'deadline']",2024-06-10
Mathematics Integration Problem Solving,Academic,تكامل الساين مقسوم في تفاضل ما داخل القوس,كل الدوال المثلثيه على هذا القانون,"['integration', 'trigonometric functions', 'mathematics']",2024-06-11
Physics Problem Solving,Academic,ممكن حل,حتجيب حجم الكرة ( Volume) = 4/3 × pi × r^3 وتضربه في ال density حق الwater = 1000 وتضربه في الجاذبية = ٩٫٨١,"['physics', 'volume', 'density', 'gravity']",2024-06-12
Unit Conversion in Mathematics,Academic,اذا حليت بالمعطيات مايطلع صح حد عارف السبب؟,cm ل m تضرب في سالب اثنين ودام cm² تضرب الاس في اثنين,"['unit conversion', 'mathematics', 'cm to m', 'exponents']",2024-06-12
Mathematics Problem Solving,Academic,عرفت كيف جت الاربعه ؟,ركز بالإشارات,"['mathematics', 'problem solving', 'signs']",2024-06-22
Final Exam Schedule Confirmation,Academic,شباب خلاص تم تاكيد مواعيد الفاينل صح ؟؟,,"['final exam', 'schedule', 'confirmation']",2024-06-23
Foundation Program Inquiry,Academic,في حد هنا يدرس فاونديشن، (الفاونديشن وليس البريدجينج) عندي استفسار اذا ممكن,,"['foundation program', 'inquiry']",2024-06-28
Mathematics Final Exam Solutions,Academic,هل في ملف يوجد فيه حلول ل فاينلات الرياضيات؟,,"['mathematics', 'final exam', 'solutions']",2024-06-30
