topic,category,question,answer,keywords,timestamp
TOEFL Testing Issue,Academic,حصلت على حالة الاختبار كنسل في امتحان التوفل مع العلم أنني أكملت الاختبار كافة الإجراءات، ماذا أفعل؟,حاول تتواصل معاهم سواء اتصال لو عندهم مكتب او عبر الايميل وتشوف ايش المشكله بالضبط.,"['TOEFL', 'اختبار', 'نتيجة', 'مشكلة']",2024-01-04
University Holiday Schedule,Student Life,متى تبدأ العطلة الرسمية في UTM؟,الاجازه الرسميه يومين فقط 11 - 10 April.,"['عطلة', 'UTM', 'اجازه']",2024-01-04
Banking Services in Malaysia,Visa/Immigration,كيف يمكنني تفعيل الماتريك في RHB؟,لازم تفعلها من عند البنك ، وتحجز موعد مع البنك.,"['الماتريك', 'RHB', 'تفعيل', 'موعد']",2024-01-04
Visa Renewal Process,Visa/Immigration,هل يجب أن أعطيهم جواز سفري الآن أم بعد سفري للسعودية لتجديد الفيزا؟,ف الأفضل انك تسافر وتبدأ الإجراءات اونلاين ولما توصل تسلم الجواز.,"['تجديد', 'فيزا', 'جواز سفر', 'إجراءات']",2024-01-04
Prayer Timings,Other,متى تبدأ صلاة التهجد في مسجد الجامعة؟,مسجد الجامعه الساعه 4 ، مسجد بردانا الساعه 2:45.,"['صلاة', 'تهجد', 'مسجد']",2024-01-04
Early Certificate Application,Academic,كيف يمكنني التقديم على الشهادة المبكرة؟,هذا الموقع 👆🏻.,"['شهادة', 'تقديم', 'شهادة مبكرة']",2024-04-04
Money Transfer to Yemen and Saudi Arabia,Visa/Immigration,ما هي طرق تحويل الأموال إلى اليمن والسعودية بشكل عاجل؟,موني جرام / ويستيرن يونيون أو المحولين.,"['تحويل', 'أموال', 'يمن', 'سعودية']",2024-04-04
التحضير للاختبار,Academic,اذا واحد ما هو يمني يحضر عادي او لا,امتلأ العدد حاليا، بس الي عبى الفورم اهلا وسهلا فيه يمني او لا,"['اختبار', 'يمني', 'حضور']",2024-04-04
استلام حوالة من الخارج,Other,شباب إذا واحد يريد يستلم حواله من الخارج (غير اليمن) ما افضل صراف ممكن نستلم منه من غير wester Union,"Money gram, اذا من السعوديه Upay او Stc pay","['حوالة', 'Money gram', 'Upay', 'Stc pay']",2024-04-06
معلومات عن صلاة العيد,Other,متى صلاة العيد؟,8:30,"['صلاة العيد', 'توقيت']",2024-04-09
تحضيرات عيد الفطر,Other,متى العيد؟,عيد الفطر المبارك سيبدأ غدًا الأربعاء.,"['عيد الفطر', 'تاريخ العيد']",2024-04-09
زكاة الفطر,Other,فيه مكان او تطبيق نقدر نزكي منه زكاة الفطر,في مسجد الجامعه يخرجون الزكاة.,"['زكاة الفطر', 'مسجد الجامعة']",2024-04-09
Wearing Cultural Attire on Campus,Student Life,هل يمكننا ارتداء الجنابي خارج الحرم الجامعي؟,لا يُنصح بارتداء الجنابي خارج الحرم الجامعي لتفادي المشاكل مع الشرطة.,"['جنابي', 'الحرم الجامعي', 'الشرطة']",2024-04-10
Buying Cultural Attire,Student Life,كيف يمكنني شراء جنابي؟,يُفضل أن تجلبها معك من بلدك، لكن ربما تجدها في KL.,"['شراء', 'جنابي', 'KL']",2024-04-10
PhD Students Connection,Academic,أريد التواصل مع طلاب دكتوراه عرب في تخصص المحاسبة في UTM، كيف يمكنني فعل ذلك؟,تواصل معي مباشرة إذا كنت بحاجة إلى أي معلومات.,"['دكتوراه', 'محاسبة', 'طلاب عرب', 'UTM']",2024-04-11
Malaysia Visa Registration,Visa/Immigration,ما هي البطاقة التي يجب أن أخرجها قبل دخول ماليزيا؟,اسمها visa Malaysia arrival، يمكنك التسجيل عبر هذا الرابط: https://imigresen-online.imi.gov.my/mdac/main?registerMain.,"['تأشيرة', 'ماليزيا', 'تسجيل']",2024-04-13
Registration for Next Academic Year,Academic,متى يبدأ التسجيل للسنة القادمة؟,قد بدأ التسجيل بالفعل.,"['التسجيل', 'السنة القادمة', 'UTM']",2024-04-13
Traffic Violation Guidance,Student Life,ما هي الأوراق المطلوبة للاحتفاظ بها عند قيادة الدراجة في ماليزيا؟,يجب أن تكون معك رخصة القيادة، تأمين، وثيقة روود تاكس، وإثبات الهوية.,"['رخصة', 'دراجة', 'روود تاكس']",2024-04-15
Driving License Information,Student Life,كيف يمكنني الحصول على رخصة الدراجة النارية في ماليزيا؟,"ابحث في جوجل ماب عن ""مدرسة تعليم القيادة""، واطلع على تفاصيل الرخص.","['رخصة', 'دراجة نارية', 'مدرسة تعليم القيادة']",2024-04-15
Driving School Fees and Procedures,Academic,ما هي الرسوم المتعلقة بالمدرسة وكيفية التقدم لاختبار القيادة في ماليزيا؟,تختلف الرسوم من مدرسة لأخرى في جوهور، لكنها تتراوح بين 600 و 700 رنجت. بعد اجتياز المدرسة، يجب دفع حوالي 120 رنجت للـ JPJ للحصول على رخصة مؤقتة لمدة 3 شهور. تشمل العملية أخذ كلاس ثيوري، اختبار محوسب، والعديد من الكلاسات العملية قبل الذهاب لامتحان ال QTI.,"['المدرسة', 'الرخصة', 'الاختبار', 'الرسوم']",2024-04-15
Semester Fee Structure,Academic,هل رسوم السمستر مبلغ ثابت أو بحسب عدد المواد التي أنزلها؟,رسوم السمستر ثابتة.,"['رسوم السمستر', 'الجامعة', 'ثابت']",2024-04-15
University Payment Deadlines,Academic,متى آخر موعد لدفع رسوم الجامعة وهل أستطيع الدفع بالتقسيط؟,يمكنك الدفع حتى بعد الفاينلات، ويُمكنك الدفع بالتقسيط.,"['رسوم الجامعة', 'تسديد', 'تقسيط']",2024-04-16
Bank Account Opening Requirements,Student Life,ما هي الأوراق المطلوبة لفتح حساب في بنك May bank؟,يطلبون منك جواز السفر، الفيزا، ورقة الجامعة والإيفال.,"['فتح حساب', 'May bank', 'أوراق مطلوبة']",2024-04-16
EMGS Application Status,Visa/Immigration,ما معنى اللون الأسود في EMGS وما هي المعاملة 20٪؟,إشارة إلى حالة معينة في الطلب. يجب التحقق من تفاصيل المعاملة المطلوبة.,"['EMGS', 'لون أسود', 'معاملة']",2024-04-17
Study Program at ELS,Academic,كم تكلفة الدورة الواحدة في معهد ELS وهل يقبلون شهادة آيلتس بمعدل 5؟,الدورة تكلف مبلغ كبير، ومن الأفضل حضور الآيلتس مباشرة للاختبار. يوجد ظلم كبير في المعهد.,"['معهد ELS', 'تكلفة الدورة', 'شهادة آيلتس']",2024-04-19
