topic,category,question,answer,keywords,timestamp
Housing Assistance for APU Students,Student Life,لو احد يعرف طالب في APU يفيدني ب رقمه عشان احتاج سكن حولين الجامعه,رسلت لك على الخاص,"['APU', 'سكن', 'الجامعة']",2024-01-10
Course Registration Process for First Semester Students,Academic,هل في تغيير في طريقة التسجيل حق طلاب أول ترم؟,الاكايدميك ادفايزر حقك هو الي ينزلها لك، اذا ما نزلت او شي تواصل معاه هو المسؤول عنك فالجامعه.,"['تسجيل', 'طلاب', 'أول ترم']",2024-01-10
Bridging Exam Registration,Academic,هل هناك تسجيل لإختبار ال Bridging؟ وين يسجلوا ويقدموا عليه؟,https://studentppi.utmspace.edu.my/?page_id=3345,"['Bridging', 'اختبار', 'تسجيل']",2024-01-10
Visa and Insurance Renewal Process,Visa/Immigration,فيزتي ثلاث سنوات وikad والتأمين لازم يتجدد سنويا؟,نعم لازم تجددهم.,"['تأمين', 'تجديد', 'فيزا']",2024-01-10
Accessing UTM Results for Master Students,Academic,كيف أحصل على UTM result لطلاب الماجستير؟,UTM PORTAL-GSMS أو UTM SMART-RESULTS.,"['UTM', 'نتائج', 'ماجستير']",2024-01-10
Internet Service Provider Recommendations,Student Life,أحد يعرف اش احسن شركة اتصال عندها باقات نقطة الاتصال فيها ممتازة؟,انا استخدم celecom و حلوه معي و النت قوي جدا.,"['اتصال', 'انترنت', 'باقات']",2024-01-10
Methods for Transferring Large Amounts of Money Between Saudi Arabia and Malaysia,Other,أحد عنده طريقة تحويل المبالغ الكبيرة من السعودية لماليزيا غير المحافظ الرقمية؟,مبالغ فوق عشره ألف دولار لها شروط خاصة ويجب أن تذهب إلى بنك أوف أمريكا من السعودية، بعدها تتحول لبنك ماليزي.,"['تحويل', 'مبالغ', 'سعودية', 'ماليزيا']",2024-01-10
Information on Essential Furniture Stores,Student Life,أين أجد مكان لتأثيث أثاث أساسي بأسعار معقولة غير السوق حق الجامعة؟,,"['تأثيث', 'أثاث', 'محلات']",2024-01-10
Holding Letter and Passport Collection,Visa/Immigration,هل أستطيع استلام الجواز مع نسخة من الهولدينق ليتر أم أحتاج نسخة أصلية?,يمكنك إرسال إيميل للـ UTM كما حصل مع آخرين لتعريفهم بأن الهولدنق ليتر ضاع وبعدها يمكنهم أن يعطوك الجواز.,"['holding letter', 'passport', 'visa renewal']",2024-10-03
Changing Sections for New Students,Academic,هل يمكن لطلاب السنة الأولى تغيير السكشن في الأسبوع الأول أم أنهم ملزمون بالسكشن الذي كتب لهم?,نعم، يمكنك تغيير السكشن حتى بداية الأسبوع الأول.,"['first year', 'section change', 'academic policy']",2024-10-03
Filling Online Immigration Form,Visa/Immigration,هل يجب تعبئة الفورم قبل الوصول إلى ماليزيا?,نعم، يجب أن تعبئ الفورم قبل أن تصل بيومين.,"['immigration form', 'Malaysia', 'arrival']",2024-10-03
Finding Furniture in Malaysia,Student Life,أين يمكنني العثور على أثاث أساسي بأسعار معقولة غير السوق الخاص بالجامعة?,يمكنك زيارة موقع https://www.mudah.my/.,"['furniture', 'Malaysia', 'affordable']",2024-10-03
Availability of Clinic Services,Other,هل العيادة مفتوحة؟,هذا غير محدد في المحادثة.,"['clinic', 'services']",2024-10-05
Textbook Purchase for Preparatory Math,Academic,أين يمكنني شراء الكتاب التحضيري للرياضيات أو استعارة نسخة مستخدمة?,يمكنك شراء الكتاب من الدكتور بمقابل 40 رنجت أو استعارة من طلاب سابقين.,"['textbook', 'math', 'preparatory']",2024-10-03
Timetable Access after Course Registration,Academic,كيف أطلع جدول الحصص بعد تسجيل المواد?,يمكنك رؤية السكشن الخاص بك وموعد الغرفة الدراسية عبر الروابط المرسلة أو عبر البريد الإلكتروني.,"['timetable', 'course registration', 'academic']",2024-10-06
University Graduation Ceremonies,Academic,هل هناك تفاصيل عن حفل التخرج؟,لم يتم ذكر تفاصيل دقيقة ولكن الطلبات تكون غالبًا عبر البريد الإلكتروني.,"['graduation', 'ceremony', 'academic']",2024-10-05
University Staff Contact Information,Academic,كيف أجد ملف يحتوي على أسماء الدكاترة ومواقع مكاتبهم؟,تقدر تلاقيه عند مدخل الأكاديميك أوفيس، ورقة مطبوعة على الجدار فيها الايميلات وأرقام المكاتب.,"['ملف', 'أسماء الدكاترة', 'مواقع المكاتب']",2024-06-10
University Payment Procedures,Academic,كيف أستطيع دفع الرسوم الجامعية؟,يمكن الدفع عن طريق الportal أو تطبيق utm smart.,"['دفع', 'الرسوم', 'الجامعة']",2024-06-10
Public Transportation to University,Student Life,هل في محطة باصات قريبة من يو مول إلى جامعة UTM؟,لا يوجد باصات مباشرة ولكن يوجد باصات توصل إلى gate 5.,"['محطة باصات', 'يو مول', 'جامعة UTM']",2024-06-10
Printing Services Location,Student Life,وين أقرب محل طباعة من ديسا سكوداي؟,مقابل رينبو.,"['محل طباعة', 'ديسا سكوداي']",2024-07-10
Engineering Drawing Supplies,Academic,ايش الأدوات المطلوبة لمادة Engineering Drawing؟,لوح A3، ورق A3، أقلام H4، HB، B6، لصقات، برايه، مسطرة T، مثلث 30-60 ومثلث 45.,"['Engineering Drawing', 'أدوات', 'مستلزمات']",2024-08-10
Visa Cancellation Requirements,Visa/Immigration,ما هي متطلبات إلغاء الفيزا؟,يجب التوجه إلى المكتب المختص أو الاستفسار من القنصلية للحصول على الأوراق المطلوبة.,"['إلغاء الفيزا', 'متطلبات']",2024-08-10
Road Tax Renewal,Other,كيف أجدد الـ Road Tax والتأمين؟,تقدر تجدده أونلاين أو عن طريق POS Laju. تأكد من أن السيارة مؤمنة.,"['Road Tax', 'تأمين', 'تجديد']",2024-08-10
Language Skills Test Inquiry,Academic,اختبار اللانقوج سكيل يميديني اخذه بدون ماادرس؟,ايوه مو بشرط.,"['language skills test', 'study requirement']",2024-10-09
Refund of Language Course Fees,Academic,هل ممكن يسترجع الرسوم أو يحولوها الى رسوم ال bridging؟,تتحول للبريدينج او لأي سمستر بس لازم يراسلهم عبر الايميل ويشرح لهم المشكلة.,"['refund', 'language course fees', 'bridging']",2024-10-11
Re-taking Language Skills Test,Academic,هل يستطيع الطالب يعيد اختبار language skills؟ واذا نعم كم لازم تكون المدة بين الاختبار الاول والاختبار الإعادة.,نعم، لا يوجد مدة محدده. يتواصل مع ادارة الامتحان ويشوف التواريخ المتاحة.,"['re-take', 'language skills test', 'exam']",2024-10-11
