topic,category,question,answer,keywords,timestamp
Mathematics Book Request,Academic,هل يوجد أحد عنده كتاب الماث تبع UTM space سوفت كوبي يرسلي اياه؟,لا تدف طيب.,"['كتاب الماث', 'UTM', 'سوفت كوبي']",2024-01-05
Document Photography Locations,Student Life,كيف يمكنني تصوير مستندات؟,في واحد جنب الجي تي اكسبرس رخيص التصوير عنده.,"['تصوير مستندات', 'جي تي اكسبرس']",2024-01-05
Cleaning Services Contact,Student Life,هل في رقم أحد ينظف في ميلانا؟,+60 10-901 3995,"['تنظيف', 'ميلانا']",2024-01-05
Visa Requirement for Yemeni Passport Holders,Visa/Immigration,هل الجواز اليمني يحتاج فيزا للدخول الى سنغافورة؟,"نعم, يحتاج.","['جواز اليمن', 'فيزا', 'سنغافورة']",2024-05-03
University Library Timing,Academic,هل المكتبة حق الجامعة فاتحة اليوم؟,نعم إلى الساعه ٥ العصر.,"['مكتبة', 'جامعة', 'توقيت']",2024-04-05
Form Submission for University Process,Academic,بعد م تسوي اللانجويز سكل وش الي تسويه ترسل ل الجامعه ول عبر ايميلهم؟,ترسل النتيجه ل utm space مع بياناتك.,"['لانجويز سكل', 'إيميل', 'بيانات']",2024-04-04
Health Clinic Availability,Student Life,هل طوارئ الكلينك حق الجامعة فاتحة ٢٤ ساعة؟,اذا بعد الساعه ٨ الليل يقولك لازم تتصل يفتحولك.,"['طوارئ', 'كلينيك', 'جامعة']",2024-05-01
Fluoride Water Filters,Student Life,ايش افضل فلتر مويه اطلبه من لازادا او شوبي؟,احنا طلبنا هذا وشغال معانا كويس.,"['فلتر مويه', 'لازادا', 'شوبي']",2024-05-03
Masters Certificate Verification Inquiry,Visa/Immigration,هل المحلقيه الثقافية اليمنية تطلب بحث الماستر اللي اخذو ماستر مواد؟ عشان تصادق على شهادة الماستر,الملحقيه تبحث عن الفلوس حقك و لا تسأل إيش درست أو مادرست.. إدفع يصادقولك.,"['المحلقه الثقافية', 'شهادة الماستر', 'تصديق']",2024-05-06
Change of Mobile Network Provider,Other,كيف الواحد يغير شركة الاتصالات بدون ما يتغير الرقم؟,روح شركة الاتصالات الجديدة وكلمهم راح يأخذوا بياناتك يجيبوا لك شريحة جديدة بنفس الرقم تتفعل بعد ٢٤ ساعه,"['شركة الاتصالات', 'تغيير الرقم', 'شريحة جديدة']",2024-05-06
Visit Visa Inquiry for Saudi Arabia,Visa/Immigration,اقدر اقدم على زياره للسعوديه وفيزتي في ماليزيا سياحه؟,تقريباً فيز الزياره للسعوديه مقفله الفتره هذي الى بعد الحج.,"['زيارة', 'السعودية', 'فيزا']",2024-05-06
Tuition Fee Payment Inquiry,Academic,هل ممكن ادفع الرسوم على دفعتين بال utm smart ولا لازم مره وحده؟,تقدر.,"['الرسوم', 'الـUTM Smart', 'دفع دفعتين']",2024-05-10
Module Registration Dates,Academic,متى يقفل تسجيل المواد؟,من ١٦ إلى ٢٧.,"['تسجيل المواد', 'مواعيد', 'التقويم الأكاديمي']",2024-05-09
Certificate of Good Conduct Application,Visa/Immigration,هل في احد منكم قدم ع شهادت حسن السيره والسلوك Certificate of good conduct من الخارجيه الماليزيه؟,تدفع يوم تبغى تستلمها بس.,"['شهادة حسن السيرة', 'الخارجية الماليزية', 'التطبيق']",2024-05-10
Transfer Between UTM Branches,Student Life,هل يقدر الطالب الي يدرس في UTM فرع كوالا يحول إلى فرع جوهور؟,على حد علمي لا ،لانه فيزتك تخصص جوهور لازم تغير فيزا.,"['UTM', 'تحويل', 'كوالا', 'جوهور', 'فيزا']",2024-05-12
COVID-19 Rapid Test Locations,Student Life,هل في عيادة قريبة من الجامعة تطلع فحص كوفيد سريع؟,لست متأكد من مواقع محددة، يمكنك الاطلاع على الإنترنت أو الاستفسار من الزملاء.,"['فحص كوفيد', 'عيادة', 'جامعة']",2024-05-12
Public Survey for Travel Application,Academic,هل يمكنكم المشاركة في الاستبيان لبرنامج تطبيق السفر؟,نعم، يمكنكم المشاركة عبر هذا الرابط: https://forms.gle/9enVPRARZQHH76p5A.,"['استبيان', 'تطبيق سفر', 'شارك']",2024-05-12
International Students Health Insurance,Visa/Immigration,هل يجب أن تكون التذكرة لليمن عند طلب تجديد الفيزا؟,تستطيع عمل تذكرة لأي بلد في العالم، ليس شرطاً أن تكون لليمن.,"['تجديد الفيزا', 'تذكرة', 'يمن']",2024-05-14
Medical Insurance Refund Procedures,Student Life,هل يمكنني استرداد المبلغ المدفوع للمستشفى إذا كان التامين يغطيها؟,تواصل مع التأمين الصحي لتقديم طلب الاسترداد، في حال كان التأمين يشمل الإجراء.,"['استرداد', 'تأمين', 'مستشفى']",2024-05-15
Upcoming Course Registration Dates,Academic,متى يبدا تسجيل المواد؟,التسجيل للمواد السمستر الجاي يبدا من 16 June.,"['تسجيل المواد', 'الموسم الدراسي', 'جامعة']",2024-05-16
Dental Clinics Recommendations,Student Life,هل في حد جرب عياده أسنان (متخصصه) ممتازه وياحبذا تكون أسعارهم طيبه؟,هناك عيادة اسنان ممتازة اسمها Hong Specialist Clinic، لكن تأكد من أسعارهم لأن بعضها قد يكون مرتفع.,"['عيادة أسنان', 'توصيات', 'أسعار']",2024-05-16
Final Exam Schedule Queries,Academic,متى آخر امتحان في البريجنج ومتى أول يوم لتسجيل في السمستر الجديد؟,التواريخ قد تتغير قليلاً كل سنة، لذلك تحقق من التقويم الأكاديمي الحالي.,"['الامتحانات النهائية', 'التقويم الأكاديمي', 'تسجيل']",2024-05-17
Visa Regulations for Malaysian Students,Visa/Immigration,هل بالإمكان ان يخرج الطالب اليمني الى سنغافورة لبضعة ايام عند نهاية فيزا الجامعة ثم يعود لماليزيا بفيزا سياحة؟,صعبة انك تطلع فيزه اذا فيزة الطالب منتهيه ولكن الى لاوس ممكن والفيزة الى لاوس عند الوصول. العودة الى ماليزيا طبيعي فيزة عند الوصول سياحية مدتها 3 أشهر.,"['سنغافورة', 'فيزا سياحة', 'ماليزيا', 'لاوس']",2024-05-18
Best Internet Service Provider Near Disa,Student Life,ايش افضل شركة نت للبيت في ديسا؟,احنا ماخذين RATE ONE FIBER ممتازة مره.,"['شركة نت', 'ديسا', 'RATE ONE FIBER']",2024-05-22
Student Contact for University Electrical Department,Academic,ممكن رقم مكتب كلية الكهرباء؟,Contact card omitted.,"['رقم', 'مكتب', 'كلية كهرباء']",2024-05-25
Feedback on EMS Institute in Kuala,Academic,كيف معهد EMS في كوالا؟ هل هيا جيدة للمبتدئين؟,العرب فيه كثير وجدا ولكن المعاهد كلها تدرس بطرق متقاربه. المعهد مش كل شيء يعتمد عليك.,"['معهد EMS', 'كوالا', 'المبتدئين']",2024-05-24
Traveling for Malaysian Student Visa,Visa/Immigration,كيف يمكنني التقديم على student visa خارج ماليزيا؟,اندونيسيا اقرب دولة ولها فيزا لكنها مكلفة.,"['student visa', 'ماليزيا', 'اندونيسيا']",2024-05-24
معهد تعليم اللغة,Academic,كيف يمكن تحسين مهارات الكتابة في المعهد؟,المعاهد كلها تدرس بطرق متقاربة، والمجهود الشخصي هو الذي يفرق. تركز على الحفظ والممارسة، وتستفيد من التصحيح والسؤال.,"['معهد', 'تعليم', 'لغة', 'مهارات الكتابة']",2024-05-24
رقم مكتب كلية الكهرباء,Academic,ممكن رقم مكتب كلية الكهرباء؟,Contact card omitted.,"['كلية', 'كهرباء', 'رقم مكتب']",2024-05-25
تجديد الفيزا,Visa/Immigration,ما هي خطوات تجديد الفيزا؟,اذهب إلى حسابك في UTM Portal واختر International Apps. بعدها اضغط على Passport/Visa info... واتبع التعليمات.,"['تجديد الفيزا', 'الخطوات', 'UTM Portal']",2024-05-28
التحقق من تقرير الحضور,Academic,هل يمكنني الحصول على تقرير الحضور من مكتب الكلية؟,يمكنك الإرسال لمكتب كليتك عبر الايميل. كما يمكنك استخراج الstatus verification letter من البورتال.,"['تقرير الحضور', 'مكتب الكلية', 'status verification letter']",2024-05-28
سحب الأموال من حساب سعودي في ماليزيا,Other,ما هي أفضل طريقة لسحب الأموال من حساب سعودي في ماليزيا؟,استخدم الصرافة، وإذا كان المبلغ أكثر من 1500 رنجيت، عليك سحب ورقة فئة 100 لتقليل العمولة.,"['سحب الأموال', 'حساب سعودي', 'ماليزيا']",2024-05-30
إجراءات السياحة لماليزيا,Visa/Immigration,ما هي الإجراءات الواجب اتباعها عند زيارة ماليزيا كسائح؟,تحتاج إلى تذكرة عودة، حجز فندق، ومبلغ كاش.,"['سياحة', 'إجراءات', 'ماليزيا']",2024-05-31
