topic,category,question,answer,keywords,timestamp
E-Learning Access Issues,Academic,E learning ما يفتح لي هل المشكله عند الجميع ولا فقط عندي,لا حتى عندي ما فتح يا أخي فارس.,"['E-learning', 'access issues', 'UTM']",2024-01-01
Password Change Procedure,Academic,كيف اغير كلمة السر لما احاول من utmportal مايرضي,اضغط على forget password وغیرہ من هناك.,"['password', 'UTM portal', 'change']",2024-01-01
Visa Renewal Application Issues,Visa/Immigration,انا جيت برفع أوراق تجديد للفيزا بالموقع حق الجامعه بس يطلع لي الأوراق القديمه الي رفعتها التجديد الاول، هل كذا صحيح ولا في طريقه ثانيه,لازم تروح لل UTMi وتكلمهم يفتحو لك الابليكشن لأنه انا حصل معي زيك.,"['visa renewal', 'application issues', 'UTMi']",2024-01-01
Lost Wallet Announcement,Other,محفظتي ضاعت بداخل الجامعه، كيف ممكن استرجعها,إذا حصلت المحفظة أو جالك خبر، ياليت تتواصل معي على الرقم 01168716780.,"['lost wallet', 'university', 'contact']",2024-01-02
Embassy Document Pickup,Visa/Immigration,اذا معي جوازي جاهز فالسفاره، هل عادي احد يستلمه من KL ولا لازم اروحلهم انا؟,ترسلهم توكيل عن طريق الايميل.,"['passport', 'embassy', 'pick up']",2024-01-03
Master's and PhD Candidates Recruitment,Academic,هل هناك فرص للدراسات العليا في قسم الهندسة الكهربائية بجامعة UTM؟,"Looking for 1 Master's candidate and 1 PhD candidate in the Department of Electrical Power Engineering, UTM Malaysia.","[""Master's candidate"", 'PhD candidate', 'job opportunity']",2024-01-06
Visa Transfer Knowledge,Visa/Immigration,في احد يعرف اش هيا اسهل طريقة الواحد يحول فيها فلوس من بنك ماليزي لأندونيسي؟,انا دايم احول باستخدام Wise.,"['money transfer', 'Malaysia', 'Indonesia', 'Wise']",2024-01-11
University Clinic Availability,Student Life,هل عيادة الجامعة الطوارئ مفتوحة الان؟,نعم انا رحت مره كانت مفتوحه جيت 3 الليل.,"['university clinic', 'emergency', 'availability']",2024-01-12
University Emergency Clinic Hours,Student Life,هل عيادة الجامعة الطوارئ مفتوحة الان ؟,نعم انا رحت مره كانت مفتوحه جيت 3 الليل بس يستحسن اتصل عليهم.,"['عيادة', 'الطوارئ', 'جامعة']",2024-01-01
Shipping Options for Documents,Student Life,هل في شركة غير ال DHL لإرسال الأوراق والأغراض؟,J&T ممتازين.,"['شركة شحن', 'DHL', 'إرسال أوراق']",2024-01-13
Lost Road Tax Procedure,Academic,ايش الإجراءات اللازمة اذا تم فقدان الroad tax؟,جرب روح الJPJ واطلب منهم نسخه جديدة وزودهم بس برقم اللوحة.,"['الضرائب', 'إجراءات', 'فقدان']",2024-01-13
